platform,slug,is_real,detail,source_table,name,state
granicus,okaloosacountyfl,True,HTTP 404,us_counties,Okaloosa County,FL
granicus,bureaucountyil,True,HTTP 404,us_counties,Bureau County,IL
granicus,lumpkincounty,True,HTTP 200,us_counties,Lumpkin County,GA
granicus,swiftcounty,True,HTTP 200,us_counties,Swift County,MN
granicus,elkocounty,True,HTTP 404,us_counties,Elko County,NV
granicus,berkeleycountysc,True,HTTP 200,us_counties,Berkeley County,SC
legistar,knoxcountyoh,True,HTTP 200 len=217656,us_counties,Knox County,OH
granicus,grandcounty-co,True,HTTP 200,us_counties,Grand County,CO
granicus,hunterdoncounty,True,HTTP 200,us_counties,Hunterdon County,NJ
legistar,hillsboroughcounty,True,HTTP 200 len=192310,us_counties,Hillsborough County,NH
granicus,chemungcounty,True,HTTP 200,us_counties,Chemung County,NY
granicus,glynncounty,True,HTTP 200,us_counties,Glynn County,GA
granicus,milwaukeecounty,True,HTTP 404,us_counties,Milwaukee County,WI
granicus,hernandocountyfl,True,HTTP 200,us_counties,Hernando County,FL
legistar,thurstoncountywa,True,HTTP 200 len=163429,us_counties,Thurston County,WA
granicus,grimescountytx,True,HTTP 200,us_counties,Grimes County,TX
granicus,elbertcounty,True,HTTP 200,us_counties,Elbert County,CO
granicus,pottercountytx,True,HTTP 200,us_counties,Potter County,TX
granicus,rutherfordcountync,True,HTTP 404,us_counties,Rutherford County,NC
granicus,charlescountymd,True,HTTP 200,us_counties,Charles County,MD
granicus,harfordcountymd,True,HTTP 404,us_counties,Harford County,MD
granicus,ramseycountymn,True,HTTP 200,us_counties,Ramsey County,MN
legistar,laramiecounty,True,HTTP 200 len=193217,us_counties,Laramie County,WY
granicus,lakecountyin,True,HTTP 200,us_counties,Lake County,IN
granicus,eaglecounty,True,HTTP 404,us_counties,Eagle County,CO
legistar,saratogacountyny,True,HTTP 200 len=173566,us_counties,Saratoga County,NY
granicus,bernalillocountynm,True,HTTP 404,us_counties,Bernalillo County,NM
legistar,grundycountyil,True,HTTP 200 len=195865,us_counties,Grundy County,IL
legistar,galvestoncountytx,True,HTTP 200 len=561051,us_counties,Galveston County,TX
granicus,olmstedcounty,True,HTTP 200,us_counties,Olmsted County,MN
granicus,finneycounty,True,HTTP 200,us_counties,Finney County,KS
granicus,daviecountync,True,HTTP 200,us_counties,Davie County,NC
granicus,newkentcounty,True,HTTP 200,us_counties,New Kent County,VA
granicus,montgomerycountymd,True,HTTP 404,us_counties,Montgomery County,MD
granicus,warrencountytn,True,HTTP 200,us_counties,Warren County,TN
granicus,calaverascounty,True,HTTP 200,us_counties,Calaveras County,CA
legistar,riversidecountyca,True,HTTP 200 len=305184,us_counties,Riverside County,CA
granicus,hardeecountyfl,True,HTTP 200,us_counties,Hardee County,FL
granicus,spaldingcounty,True,HTTP 200,us_counties,Spalding County,GA
legistar,pueblocounty,True,HTTP 200 len=159217,us_counties,Pueblo County,CO
granicus,kentcountyde,True,HTTP 200,us_counties,Kent County,DE
granicus,butlercountyoh,True,HTTP 404,us_counties,Butler County,OH
granicus,unioncountync,True,HTTP 200,us_counties,Union County,NC
legistar,clevelandcountyok,True,HTTP 200 len=332131,us_counties,Cleveland County,OK
granicus,jimwellscountytx,True,HTTP 200,us_counties,Jim Wells County,TX
legistar,dekalbcountyga,True,HTTP 200 len=210439,us_counties,DeKalb County,GA
granicus,chathamcountyga,True,HTTP 200,us_counties,Chatham County,GA
legistar,seminolecountyfl,True,HTTP 200 len=316100,us_counties,Seminole County,FL
granicus,tarrantcounty,True,HTTP 404,us_counties,Tarrant County,TX
granicus,sussexcountyva,True,HTTP 404,us_counties,Sussex County,VA
granicus,summitcounty,True,HTTP 200,us_counties,Summit County,OH
granicus,geneseecountymi,True,HTTP 200,us_counties,Genesee County,MI
granicus,oklahomacounty,True,HTTP 200,us_counties,Oklahoma County,OK
granicus,sanmateocounty,True,HTTP 200,us_counties,San Mateo County,CA
legistar,dentoncounty,True,HTTP 200 len=436924,us_counties,Denton County,TX
legistar,fresnocounty,True,HTTP 200 len=231301,us_counties,Fresno County,CA
legistar,alleghenycounty,True,HTTP 200 len=650338,us_counties,Allegheny County,PA
granicus,knoxcountyoh,True,HTTP 200,us_counties,Knox County,OH
granicus,leecountync,True,HTTP 200,us_counties,Lee County,NC
granicus,hillsboroughcounty,True,HTTP 200,us_counties,Hillsborough County,NH
granicus,summitcountyco,True,HTTP 200,us_counties,Summit County,CO
granicus,hoodrivercounty,True,HTTP 200,us_counties,Hood River County,OR
granicus,thurstoncountywa,True,HTTP 200,us_counties,Thurston County,WA
granicus,santacruzcountyca,True,HTTP 200,us_counties,Santa Cruz County,CA
granicus,deltacountytx,True,HTTP 200,us_counties,Delta County,TX
granicus,laramiecounty,True,HTTP 200,us_counties,Laramie County,WY
granicus,claytoncountyga,True,HTTP 200,us_counties,Clayton County,GA
granicus,saratogacountyny,True,HTTP 200,us_counties,Saratoga County,NY
granicus,grundycountyil,True,HTTP 200,us_counties,Grundy County,IL
granicus,hanovercounty,True,HTTP 200,us_counties,Hanover County,VA
granicus,galvestoncountytx,True,HTTP 200,us_counties,Galveston County,TX
granicus,montrosecounty,True,HTTP 404,us_counties,Montrose County,CO
granicus,riversidecountyca,True,HTTP 200,us_counties,Riverside County,CA
granicus,ouraycountyco,True,HTTP 200,us_counties,Ouray County,CO
granicus,gadsdencountyfl,True,HTTP 200,us_counties,Gadsden County,FL
granicus,horrycounty,True,HTTP 404,us_counties,Horry County,SC
granicus,pueblocounty,True,HTTP 200,us_counties,Pueblo County,CO
granicus,clevelandcountyok,True,HTTP 200,us_counties,Cleveland County,OK
granicus,calvertcounty,True,HTTP 200,us_counties,Calvert County,MD
granicus,montgomerycountypa,True,HTTP 200,us_counties,Montgomery County,PA
granicus,currycountynm,True,HTTP 200,us_counties,Curry County,NM
granicus,monroecounty-fl,True,HTTP 200,us_counties,Monroe County,FL
granicus,monroecountyfl,True,HTTP 200,us_counties,Monroe County,FL
granicus,dekalbcountyga,True,HTTP 404,us_counties,DeKalb County,GA
granicus,seminolecountyfl,True,HTTP 200,us_counties,Seminole County,FL
