slug,platform,guessed_name,guessed_state,source_table,outcome,detail
longview,legistar,Longview,AB,ca_csd,no-url-found,no public-video event via Web API; no companion Granicus domain
cityofcleveland,legistar,Cleveland,QC,ca_csd,skipped-empty,no segments/agenda/video
russell,legistar,Russell,ON,ca_csd,no-url-found,no public-video event via Web API; no companion Granicus domain
scott,legistar,Scott,SK,ca_csd,no-url-found,no public-video event via Web API; no companion Granicus domain
harrison,granicus,Harris,ON,ca_csd,no-url-found,no valid view_id 1-3 on Granicus RSS
raymond,legistar,Raymond,AB,ca_csd,no-url-found,no public-video event via Web API; no companion Granicus domain
middleton,granicus,Middleton,NS,ca_csd,no-url-found,no valid view_id 1-3 on Granicus RSS
cumberland,granicus,Cumberland,BC,ca_csd,no-url-found,no valid view_id 1-3 on Granicus RSS
clearwater,granicus,Clearwater,BC,ca_csd,no-url-found,no valid view_id 1-3 on Granicus RSS
morrisville,granicus,Morrisville,NL,ca_csd,no-url-found,no valid view_id 1-3 on Granicus RSS
james,legistar,James,ON,ca_csd,no-url-found,no public-video event via Web API; no companion Granicus domain
langford,granicus,Langford,BC,ca_csd,resolve-failed,resolve raised: HTTP 404 for https://langford.granicus.com/MediaPlayer.php?view_id=1&clip_id=3
sunnyside,granicus,Sunnyside,NL,ca_csd,no-url-found,no valid view_id 1-3 on Granicus RSS
middlesex,legistar,Middlesex,ON,ca_cd,no-url-found,no public-video event via Web API; no companion Granicus domain
crowsnestpass,granicus,Crowsnest Pass,AB,ca_csd,no-url-found,no valid view_id 1-3 on Granicus RSS
houston,granicus,Houston,BC,ca_csd,no-url-found,no valid view_id 1-3 on Granicus RSS
pasadena,granicus,Pasadena,NL,ca_csd,no-url-found,no valid view_id 1-3 on Granicus RSS
stpaul,granicus,St. Paul,AB,ca_csd,no-url-found,no valid view_id 1-3 on Granicus RSS
huron,granicus,Huron,ON,ca_cd,no-url-found,no valid view_id 1-3 on Granicus RSS
