slug,platform,meeting_url,tier,outcome,jurisdiction,segments,agenda_items,video_url,detail
montgomerycountymd,granicus,https://montgomerycountymd.granicus.com/MediaPlayer.php?view_id=2&clip_id=18367,tier1,ingested,Montgomery County,903,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/montgomerycountymd/montgomerycountymd_e2165178-9195-485a-8ec7-703be51747bb.mp4/playlist.m3u8,/m/montgomery-county-md-2025-11-05-council-youth-town-hall
warrencountytn,granicus,https://warrencountytn.granicus.com/MediaPlayer.php?view_id=1&clip_id=83,tier3-agenda,ingested,"Warren County, TN",0,0,,/m/warren-county-tn-2024-07-09-warren-county-board-of-commissioners-jun-24th-2024
calaverascounty,granicus,https://calaverascounty.granicus.com/MediaPlayer.php?view_id=1&clip_id=11,tier3-agenda,ingested,"Calaveras County, CA",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/calaverascounty/calaverascounty_f4099313-58b1-434c-8fbb-b517c4383e5b.mp4/playlist.m3u8,/m/calaveras-county-ca-2023-04-19-board-of-supervisors-on-2023-04-19-3-30-pm-workfl
riversidecountyca,legistar,https://riversidecountyca.legistar.com/MeetingDetail.aspx?LEGID=976&GID=1041&G=94A92325-E909-4A7B-912C-50279CA1446D,none,skipped-empty,,0,0,,no segments/agenda/video
hardeecountyfl,granicus,https://hardeecountyfl.granicus.com/MediaPlayer.php?view_id=1&clip_id=426,tier3-agenda,ingested,"Hardee County, FL",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/hardeecountyfl/hardeecountyfl_b8095d1a-f748-4c2b-a777-1eb697d76eac.mp4/playlist.m3u8,/m/hardee-county-fl-2026-09-04-planning-and-zoning-board
spaldingcounty,granicus,https://spaldingcounty.granicus.com/MediaPlayer.php?view_id=1&clip_id=414,tier3-agenda,ingested,"Spalding County, GA",0,0,,/m/spalding-county-ga-2026-08-24-parks-leisure-services-advisory-committee (recovered via retry: next candidate)
pueblocounty,legistar,https://pueblocounty.legistar.com/MeetingDetail.aspx?LEGID=1033&GID=799&G=B9DB911A-4A6D-498E-921C-69D22BD265F8,none,skipped-empty,,0,0,,no segments/agenda/video
kentcountyde,granicus,https://kentcountyde.granicus.com/MediaPlayer.php?view_id=1&clip_id=145,tier3-agenda,ingested,"Kent County, DE",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/kentcountyde/kentcountyde_e68fcc22-b6cc-44a7-a71f-8407ae163455.mp4/playlist.m3u8,/m/kent-county-de-2026-09-03-regional-planning-commission-public-hearing
butlercountyoh,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
unioncountync,granicus,https://unioncountync.granicus.com/MediaPlayer.php?view_id=1&clip_id=473,tier3-agenda,ingested,"Union County, NC",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/unioncountync/unioncountync_b70a412a-5367-4feb-b500-81cd6c4d0c2f.mp4/playlist.m3u8,/m/union-county-nc-2026-08-18-land-use-board-on-2026-08-18-6-00-pm
clevelandcountyok,legistar,https://clevelandcountyok.legistar.com/MeetingDetail.aspx?LEGID=1011&GID=1005&G=ADDC5E15-931B-4951-86BF-B0595C5B4F4C,tier3-agenda,ingested,"Cleveland County, OK",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/clevelandcountyok/clevelandcountyok_bfdc3325-6b0a-4f9d-8964-3e207ef8b42f.mp4/playlist.m3u8,/m/cleveland-county-ok-2026-08-31-board-of-county-commissioners-on-2026-08-31-1-00 (recovered via retry: next candidate)
jimwellscountytx,granicus,https://jimwellscountytx.granicus.com/MediaPlayer.php?view_id=1&clip_id=59,tier3-agenda,ingested,Jim Wells County TX,0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/jimwellscountytx/jimwellscountytx_4992dea7-0bb7-4b91-be86-aa3d59ca6b7a.mp4/playlist.m3u8,/m/jim-wells-county-tx-2026-09-04-commissioner-s-court
dekalbcountyga,legistar,https://dekalbcountyga.legistar.com/MeetingDetail.aspx?LEGID=4487&GID=570&G=38B42E79-166F-4337-AE30-3665ECD50E7A,tier3-agenda,ingested,"DeKalb County, GA",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/dekalbcountyga/dekalbcountyga_0c1f22d3-d8e3-4d7d-a5f1-beae381e47c2.mp4/playlist.m3u8,/m/dekalb-county-ga-2026-08-25-board-of-commissioners-regular-meeting (recovered via retry: next candidate)
chathamcountyga,granicus,https://chathamcountyga.granicus.com/MediaPlayer.php?view_id=1&clip_id=251,tier3-agenda,ingested,Chatham County,0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chathamcountyga/chathamcountyga_1f06c5c9-2d7b-4ff6-bb25-8f78b47df752.mp4/playlist.m3u8,/m/chatham-county-ga-2026-02-25-board-of-commissioners-regular-meeting
seminolecountyfl,legistar,https://seminolecountyfl.legistar.com/MeetingDetail.aspx?LEGID=3589&GID=921&G=E2DF9C83-4A2C-4390-86EE-5C088F5B9D50,tier1,ingested,"Seminole County, FL",7692,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/seminolecountyfl/seminolecountyfl_f3f62507-755f-4da6-82fa-650ff3528ade.mp4/playlist.m3u8,/m/seminole-county-fl-2026-08-25-board-of-county-commissioners-on-2026-08-25-9-30-a (recovered via retry: next candidate)
tarrantcounty,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
sussexcountyva,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
summitcounty,granicus,https://summitcounty.granicus.com/MediaPlayer.php?view_id=1&clip_id=1453,tier3-agenda,ingested,"Summit County, UT",0,0,,/m/summit-county-ut-2026-08-27-eastern-summit-county-agriculture-preservation-and-o
geneseecountymi,granicus,https://geneseecountymi.granicus.com/MediaPlayer.php?view_id=1&clip_id=15,tier3-agenda,ingested,Genesee County MI,0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/geneseecountymi/geneseecountymi_225b0d34-64c4-4a5a-a445-0e9f6089b14d.mp4/playlist.m3u8,/m/genesee-county-mi-2023-08-23-legistar-file-template-troubleshooting
oklahomacounty,granicus,https://oklahomacounty.granicus.com/MediaPlayer.php?view_id=1&clip_id=2409,tier3-agenda,ingested,"Oklahoma County, OK",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/oklahomacounty/oklahomacounty_3a410272-d3cb-4199-9484-ac537217edd8.mp4/playlist.m3u8,/m/oklahoma-county-ok-2026-09-03-budget-evaluation-team-on-2026-09-03-9-00-am
sanmateocounty,granicus,https://sanmateocounty.granicus.com/MediaPlayer.php?view_id=1&clip_id=1950,tier1,ingested,"County of San Mateo, CA",11139,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/sanmateocounty/sanmateocounty_79ec8b74-cf54-4615-aa92-2cf2dadb18e1.mp4/playlist.m3u8,/m/county-of-san-mateo-ca-2026-08-25-board-of-supervisors-on-2026-08-25-9-00-am (retried after transient SSL error)
dentoncounty,legistar,https://dentoncounty.granicus.com/MediaPlayer.php?view_id=2&clip_id=223,tier3-agenda,ingested,"Denton County, TX",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/dentoncounty/dentoncounty_20f15d42-680c-4a9b-aab6-b9fe0f0439fc.mp4/playlist.m3u8,/m/denton-county-tx-2011-08-31-mass-gathering-meeting
fresnocounty,legistar,https://fresnocounty.legistar.com/MeetingDetail.aspx?LEGID=10055&GID=445&G=33E9BBE7-7587-40B2-837F-DDAC12A39680,tier1,ingested,"Fresno County, CA",2646,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/fresnocounty/fresnocounty_d783541f-a413-4d0f-b986-94284a82afbd.mp4/playlist.m3u8,/m/fresno-county-ca-2026-08-25-board-of-supervisors-on-2026-08-25-9-30-am
alleghenycounty,legistar,,,no-url-found,,,,,no public-video event via Web API; no companion Granicus domain
knoxcountyoh,granicus,https://knoxcountyoh.granicus.com/MediaPlayer.php?view_id=1&clip_id=947,tier3-agenda,ingested,"Knox County, OH",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/knoxcountyoh/knoxcountyoh_20931411-d178-44f5-91e3-5426d7c246e4.mp4/playlist.m3u8,/m/knox-county-oh-2023-11-11-board-of-commissioners-regular-session
leecountync,granicus,https://leecountync.granicus.com/MediaPlayer.php?view_id=1&clip_id=191,tier3-agenda,ingested,"Lee County, NC",0,0,,/m/lee-county-nc-2026-09-04-board-of-commissioners-sep-4th-2026
hillsboroughcounty,granicus,https://hillsboroughcounty.granicus.com/MediaPlayer.php?view_id=1&clip_id=1361,tier1,ingested,"Hillsborough County, FL",3994,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/hillsboroughcounty/hillsboroughcounty_e847faeb-7ca7-4c10-ba85-0f592a79577e.mp4/playlist.m3u8,/m/hillsborough-county-fl-2026-09-02-20260902-bocc-rm
summitcountyco,granicus,https://summitcountyco.granicus.com/MediaPlayer.php?view_id=1&clip_id=379,tier3-agenda,ingested,"Summit County, CO",0,0,,/m/summit-county-co-2026-02-24-summit-county-housing-authority
hoodrivercounty,granicus,https://hoodrivercounty.granicus.com/MediaPlayer.php?view_id=1&clip_id=49,tier3-agenda,ingested,"Hood River County, OR",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/hoodrivercounty/hoodrivercounty_a3e306bd-9225-419a-975f-0bf211c02c22.mp4/playlist.m3u8,/m/hood-river-county-or-2025-08-18-board-of-commissioners
thurstoncountywa,granicus,https://thurstoncountywa.granicus.com/MediaPlayer.php?view_id=1&clip_id=24,tier3-agenda,ingested,"Thurston County, WA",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/thurstoncountywa/thurstoncountywa_bed21ad5-3afd-42ef-b24d-51f4ba7b383f.mp4/playlist.m3u8,/m/thurston-county-wa-2024-03-04-thurston-county-processing-minutes
santacruzcountyca,granicus,https://santacruzcountyca.granicus.com/MediaPlayer.php?view_id=2&clip_id=398,tier1,ingested,"Santa Cruz County, CA",4672,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/santacruzcountyca/santacruzcountyca_42d620a9-19d6-4a58-aec5-6170dc038e9a.mp4/playlist.m3u8,/m/santa-cruz-county-ca-2025-02-11-board-of-supervisors-regular-meeting
deltacountytx,granicus,https://deltacountytx.granicus.com/MediaPlayer.php?view_id=2&clip_id=3,tier3-agenda,ingested,Delta County,0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/deltacountytx/deltacountytx_c61337e4-77cf-4ed6-b33b-cd2df4fa7b5f.mp4/playlist.m3u8,/m/delta-county-tx-2025-04-18-ilt-peak-drafters-and-approvers-recommended-session-2
laramiecounty,granicus,https://laramiecounty.granicus.com/MediaPlayer.php?view_id=1&clip_id=444,tier3-agenda,ingested,"Laramie County, Wy",0,2,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/laramiecounty/laramiecounty_37618e4f-663f-4608-b3bc-3925966c87f1.mp4/playlist.m3u8,/m/laramie-county-wy-2021-08-02-210802-public-hearing-to-set-mill-levies
claytoncountyga,granicus,https://claytoncountyga.granicus.com/MediaPlayer.php?view_id=1&clip_id=522,tier3-agenda,ingested,Clayton County GA,0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/claytoncountyga/claytoncountyga_aaaaa3f9-d771-492f-b110-3c10d50497f3.mp4/playlist.m3u8,/m/clayton-county-ga-2026-09-01-regular-business-meeting
saratogacountyny,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
grundycountyil,granicus,https://grundycountyil.granicus.com/MediaPlayer.php?view_id=2&clip_id=12,tier3-agenda,ingested,"Grundy County, IL",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/grundycountyil/grundycountyil_e2801853-daf9-4600-a044-1b3ea7553cec.mp4/playlist.m3u8,/m/grundy-county-il-2026-09-01-grundy-county-il-legistar-drafting-and-approving-tra
hanovercounty,granicus,https://hanovercounty.granicus.com/MediaPlayer.php?view_id=1&clip_id=102,tier3-agenda,ingested,"HANOVER COUNTY, VIRGINIA",0,21,https://archive-video.granicus.com/hanovercounty/hanovercounty_35b728c7-379a-4a66-8aab-24bb22c8df8d.mp4,/m/hanover-county-va-2015-12-10-planning-commission-meeting-dec-10th-2015
galvestoncountytx,granicus,https://galvestoncountytx.granicus.com/MediaPlayer.php?view_id=1&clip_id=966,tier3-agenda,ingested,Galveston County TX,0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/galvestoncountytx/galvestoncountytx_06b72c1f-757d-4d30-aa85-c000ad031c30.mp4/playlist.m3u8,/m/galveston-county-tx-2026-08-31-commissioners-court-special-meeting-on-2026-08-31
montrosecounty,granicus,https://montrosecounty.granicus.com/MediaPlayer.php?view_id=2&clip_id=2269,tier1,ingested,"Montrose County, CO",163,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/montrosecounty/montrosecounty_3194b81e-a6e4-11f1-a028-005056a89546.mp4/playlist.m3u8,/m/montrose-county-co-2026-09-02-regular-meeting-board-of-county-commissioners
