old_slug,gov_id,new_slug,evidence
victor-ny,us:place:3677376,victor-village-ny,"'Victor, NY' now resolves to us:place:3677376 (Victor (village), NY)"
victoria,ca:csd:5917034,victoria-bc,"'Victoria' now resolves to ca:csd:5917034 (Victoria, BC)"
village-of-addison-il,us:place:1700243,addison-village-il,"'Village of Addison, IL' now resolves to us:place:1700243 (Addison (village), IL)"
village-of-barrington-hills-il,us:place:1703883,barrington-hills-il,"'Village of Barrington Hills, IL' now resolves to us:place:1703883 (Barrington Hills, IL)"
village-of-brookfield,us:place:1708576,brookfield-village-il,"'Village of Brookfield' now resolves to us:place:1708576 (Brookfield (village), IL)"
village-of-brown-deer-wi,us:place:5510375,brown-deer-wi,"'Village of Brown Deer, WI' now resolves to us:place:5510375 (Brown Deer, WI)"
village-of-carpentersville-il,us:place:1711358,carpentersville-il,"'Village of Carpentersville, IL' now resolves to us:place:1711358 (Carpentersville, IL)"
village-of-cooperstown,us:place:3618047,cooperstown-ny,"'Village of Cooperstown' now resolves to us:place:3618047 (Cooperstown, NY)"
village-of-cottage-grove-wi,us:place:5517175,cottage-grove-village-wi,"'Village of Cottage Grove, WI' now resolves to us:place:5517175 (Cottage Grove (village), WI)"
village-of-cross-plains-wi,us:place:5517775,cross-plains-village-wi,"'Village of Cross Plains, WI' now resolves to us:place:5517775 (Cross Plains (village), WI)"
village-of-fredonia-wi,us:place:5527550,fredonia-village-wi,"'Village of Fredonia, WI' now resolves to us:place:5527550 (Fredonia (village), WI)"
village-of-galena,us:place:3929148,galena-oh,"'Village of Galena' now resolves to us:place:3929148 (Galena, OH)"
village-of-glen-ellyn-il,us:place:1729756,glen-ellyn-il,"'Village of Glen Ellyn, IL' now resolves to us:place:1729756 (Glen Ellyn, IL)"
village-of-hanover-park-il,us:place:1732746,hanover-park-il,"'Village of Hanover Park, IL' now resolves to us:place:1732746 (Hanover Park, IL)"
village-of-mokena-il,us:place:1749854,mokena-il,"'Village of Mokena, IL' now resolves to us:place:1749854 (Mokena, IL)"
village-of-monee-il,us:place:1749945,monee-village-il,"'Village of Monee, IL' now resolves to us:place:1749945 (Monee (village), IL)"
village-of-moreland-hills-oh,us:place:3952052,moreland-hills-oh,"'Village of Moreland Hills, OH' now resolves to us:place:3952052 (Moreland Hills, OH)"
village-of-northfield,us:place:1753663,northfield-village-il,"'Village of Northfield' now resolves to us:place:1753663 (Northfield (village), IL)"
village-of-patchogue-ny,us:place:3656660,patchogue-ny,"'Village of Patchogue, NY' now resolves to us:place:3656660 (Patchogue, NY)"
village-of-pinecrest-fl,us:place:1256625,pinecrest-fl,"'Village of Pinecrest, FL' now resolves to us:place:1256625 (Pinecrest, FL)"
village-of-rye-brook-ny,us:place:3664325,rye-brook-ny,"'Village of Rye Brook, NY' now resolves to us:place:3664325 (Rye Brook, NY)"
village-of-skokie-il,us:place:1770122,skokie-il,"'Village of Skokie, IL' now resolves to us:place:1770122 (Skokie, IL)"
village-of-tequesta-fl,us:place:1271525,tequesta-fl,"'Village of Tequesta, FL' now resolves to us:place:1271525 (Tequesta, FL)"
village-of-university-park,us:place:1776935,university-park-il,"'Village Of University Park' now resolves to us:place:1776935 (University Park, IL)"
village-of-wellington-fl,us:place:1275812,wellington-fl,"'Village of Wellington, FL' now resolves to us:place:1275812 (Wellington, FL)"
village-of-whitefish-bay-wi,us:place:5586700,whitefish-bay-wi,"'Village of Whitefish Bay, WI' now resolves to us:place:5586700 (Whitefish Bay, WI)"
virginia,us:state:51,state-of-virginia,'Virginia' now resolves to us:state:51 (State of Virginia)
virginia-senate,us:state:51,state-of-virginia,'Virginia Senate' now resolves to us:state:51 (State of Virginia)
vista,us:place:0682996,vista-ca,"'City of Vista' now resolves to us:place:0682996 (Vista, CA)"
wake,us:county:37183,wake-county-nc,"'Wake' now resolves to us:county:37183 (Wake County, NC)"
wakefield-ma,us:cousub:2501772215,wakefield-town-ma,"'Wakefield, MA' now resolves to us:cousub:2501772215 (Wakefield Town, MA)"
walnut-creek,us:place:0683346,walnut-creek-ca,"'City of Walnut Creek' now resolves to us:place:0683346 (Walnut Creek, CA)"
walworth-county,us:county:55127,walworth-county-wi,"'Walworth County' now resolves to us:county:55127 (Walworth County, WI)"
walworth-wi,us:place:5583250,walworth-village-wi,"'Walworth, WI' now resolves to us:place:5583250 (Walworth (village), WI)"
waukesha-wi,us:place:5584250,waukesha-city-wi,"'City of Waukesha, WI' now resolves to us:place:5584250 (Waukesha (city), WI)"
wayne,us:place:2684940,wayne-city-mi,"'City of Wayne' now resolves to us:place:2684940 (Wayne (city), MI)"
wellington,us:place:1275812,wellington-fl,"'Wellington' now resolves to us:place:1275812 (Wellington, FL)"
westfield,us:place:3479040,westfield-nj,"'Westfield' now resolves to us:place:3479040 (Westfield, NJ)"
westminster,us:place:0684550,westminster-ca,"'City of Westminster' now resolves to us:place:0684550 (Westminster, CA)"
westport-ct,us:cousub:0919083500,westport-town-ct,"'Westport, CT' now resolves to us:cousub:0919083500 (Westport Town, CT)"
whitehouse,us:place:4878388,whitehouse-tx,"'City of Whitehouse' now resolves to us:place:4878388 (Whitehouse, TX)"
whitewater-wi,us:place:5586925,whitewater-city-wi,"'Whitewater, WI' now resolves to us:place:5586925 (Whitewater (city), WI)"
williams-county,us:county:38105,williams-county-nd,"'Williams County' now resolves to us:county:38105 (Williams County, ND)"
wilmington,us:place:3774440,wilmington-nc,"'Wilmington' now resolves to us:place:3774440 (Wilmington, NC)"
wilson-county-schools-tn,us:sd:4704550,wilson-county-school-district-tn,"'Wilson County Schools, TN' now resolves to us:sd:4704550 (Wilson County School District, TN)"
winchester,us:county:51840,winchester-city-va,"'Winchester' now resolves to us:county:51840 (Winchester city, VA)"
windsor-ct,us:cousub:0911087000,windsor-town-ct,"'Windsor, CT' now resolves to us:cousub:0911087000 (Windsor Town, CT)"
winona,us:place:2771032,winona-mn,"'Winona' now resolves to us:place:2771032 (Winona, MN)"
winter-park,us:place:1278300,winter-park-fl,"'Winter Park' now resolves to us:place:1278300 (Winter Park, FL)"
woodbury,us:county:19193,woodbury-county-ia,"'Woodbury' now resolves to us:county:19193 (Woodbury County, IA)"
woodland,us:place:0686328,woodland-ca,"'Woodland' now resolves to us:place:0686328 (Woodland, CA)"
woodstock-il,us:place:1783349,woodstock-city-il,"'City of Woodstock, IL' now resolves to us:place:1783349 (Woodstock (city), IL)"
woonsocket,us:place:4480780,woonsocket-ri,"'City of Woonsocket' now resolves to us:place:4480780 (Woonsocket, RI)"
worthington-oh,us:place:3986604,worthington-city-oh,"'Worthington, OH' now resolves to us:place:3986604 (Worthington (city), OH)"
yarmouth-ma,us:cousub:2500182525,yarmouth-town-ma,"'Yarmouth, MA' now resolves to us:cousub:2500182525 (Yarmouth Town, MA)"
