old_slug,gov_id,new_slug,evidence
mt-lebanon-pa,us:cousub:4200351696,mount-lebanon-township-pa,"'Mt. Lebanon, PA' now resolves to us:cousub:4200351696 (Mount Lebanon Township, PA)"
mt-pleasant-tn,us:place:4751080,mount-pleasant-tn,"'Mt Pleasant, TN' now resolves to us:place:4751080 (Mount Pleasant, TN)"
multnomah,us:county:41051,multnomah-county-or,"'Multnomah' now resolves to us:county:41051 (Multnomah County, OR)"
mundelein-village-il,us:place:1751349,mundelein-il,"'Mundelein Village, IL' now resolves to us:place:1751349 (Mundelein, IL)"
n-lauderdale,us:place:1249425,north-lauderdale-fl,"'N Lauderdale' now resolves to us:place:1249425 (North Lauderdale, FL)"
naperville-il,us:place:1751622,naperville-city-il,"'City of Naperville, IL' now resolves to us:place:1751622 (Naperville (city), IL)"
naples,us:place:1247625,naples-fl,"'City of Naples' now resolves to us:place:1247625 (Naples, FL)"
nashua,us:place:3350260,nashua-nh,"'Nashua' now resolves to us:place:3350260 (Nashua, NH)"
nashville,us:place:4752006,nashville-davidson-tn,"'Nashville' now resolves to us:place:4752006 (Nashville-Davidson, TN)"
nashville-davidson-county-tn,us:place:4752006,nashville-davidson-tn,"'Nashville-Davidson County, TN' now resolves to us:place:4752006 (Nashville-Davidson, TN)"
nassau-county,rtr:us:sd:nassau-county,nassau-county-sd,"'Nassau County' now resolves to rtr:us:sd:nassau-county (Nassau County, SD)"
natick-ma,us:cousub:2501743895,natick-town-ma,"'Natick, MA' now resolves to us:cousub:2501743895 (Natick Town, MA)"
needham-ma,us:cousub:2502144105,needham-town-ma,"'Needham, MA' now resolves to us:cousub:2502144105 (Needham Town, MA)"
nevada-county,us:county:06057,nevada-county-ca,"'Nevada County' now resolves to us:county:06057 (Nevada County, CA)"
nevada-legislature,us:state:32,state-of-nevada,'Nevada Legislature' now resolves to us:state:32 (State of Nevada)
new-franklin,us:place:3954562,new-franklin-oh,"'City of New Franklin' now resolves to us:place:3954562 (New Franklin, OH)"
new-hanover,us:county:37129,new-hanover-county-nc,"'New Hanover' now resolves to us:county:37129 (New Hanover County, NC)"
newburgh,us:place:3650034,newburgh-city-ny,"'Newburgh' now resolves to us:place:3650034 (Newburgh (city), NY)"
newburgh-ny,us:place:3650034,newburgh-city-ny,"'Newburgh, NY' now resolves to us:place:3650034 (Newburgh (city), NY)"
newmarket-nh,us:cousub:3301552340,newmarket-town-nh,"'Newmarket, NH' now resolves to us:cousub:3301552340 (Newmarket Town, NH)"
newtown-pa,us:place:4254184,newtown-borough-pa,"'Newtown, PA' now resolves to us:place:4254184 (Newtown (borough), PA)"
niagara-falls,us:place:3651055,niagara-falls-ny,"'City of Niagara Falls' now resolves to us:place:3651055 (Niagara Falls, NY)"
norfolk,us:place:5157000,norfolk-va,"'Norfolk' now resolves to us:place:5157000 (Norfolk, VA)"
north-branch-mn,us:place:2746798,north-branch-city-mn,"'North Branch, MN' now resolves to us:place:2746798 (North Branch (city), MN)"
north-castle-ny,us:cousub:3611951693,north-castle-town-ny,"'North Castle, NY' now resolves to us:cousub:3611951693 (North Castle Town, NY)"
northcowichan,ca:csd:5919008,north-cowichan-bc,"'Northcowichan' now resolves to ca:csd:5919008 (North Cowichan, BC)"
northfield,us:place:2746924,northfield-city-mn,"'City of Northfield' now resolves to us:place:2746924 (Northfield (city), MN)"
nsb,us:place:1248625,new-smyrna-beach-fl,"'Nsb' now resolves to us:place:1248625 (New Smyrna Beach, FL)"
oak-harbor,us:place:5350360,oak-harbor-wa,"'City of Oak Harbor' now resolves to us:place:5350360 (Oak Harbor, WA)"
oak-park,us:place:1754885,oak-park-il,"'Oak Park' now resolves to us:place:1754885 (Oak Park, IL)"
oak-ridge,rtr:us:tn:oak-ridge,the-city-of-oak-ridge-tn,"'The City of Oak Ridge' now resolves to rtr:us:tn:oak-ridge (The City of Oak Ridge, TN)"
ogunquit-me,us:cousub:2303154980,ogunquit-town-me,"'Ogunquit, ME' now resolves to us:cousub:2303154980 (Ogunquit Town, ME)"
olathe,us:place:2052575,olathe-ks,"'City of Olathe' now resolves to us:place:2052575 (Olathe, KS)"
orange,us:place:0653980,orange-ca,"'City of Orange' now resolves to us:place:0653980 (Orange, CA)"
orange-county,us:county:12095,orange-county-fl,"'Orange County' now resolves to us:county:12095 (Orange County, FL)"
orange-county-comptroller,us:county:12095,orange-county-fl,"'Orange County Comptroller' now resolves to us:county:12095 (Orange County, FL)"
orangeville,ca:csd:3522014,orangeville-on,"'Orangeville' now resolves to ca:csd:3522014 (Orangeville, ON)"
oregon,us:county:29149,oregon-county-mo,"'Oregon' now resolves to us:county:29149 (Oregon County, MO)"
osawatomie-ks,us:place:2053225,osawatomie-city-ks,"'City of Osawatomie, KS' now resolves to us:place:2053225 (Osawatomie (city), KS)"
ottawa-ks,us:place:2053550,ottawa-city-ks,"'City of Ottawa, KS' now resolves to us:place:2053550 (Ottawa (city), KS)"
oxford-county-on,ca:cd:3532,oxford-on,"'Oxford County, ON' now resolves to ca:cd:3532 (Oxford, ON)"
oxford-oh,us:place:3959234,oxford-city-oh,"'City of Oxford, OH' now resolves to us:place:3959234 (Oxford (city), OH)"
painesville-oh,us:place:3959416,painesville-city-oh,"'Painesville, OH' now resolves to us:place:3959416 (Painesville (city), OH)"
palatine-il,us:place:1757225,palatine-village-il,"'Palatine, IL' now resolves to us:place:1757225 (Palatine (village), IL)"
palm-springs,us:place:0655254,palm-springs-ca,"'City of Palm Springs' now resolves to us:place:0655254 (Palm Springs, CA)"
paradise-valley,us:place:0452930,paradise-valley-az,"'Paradise Valley' now resolves to us:place:0452930 (Paradise Valley, AZ)"
