platform,tenant_host,match,pages,stored_names,example_slug,landing_url,swagit_footer,proposed_name,proposed_gov_id,proposed_evidence,ryan_gov_name,ryan_note
cablecast,wilson-co-schools.cablecast.tv,,3,,2025-03-23-new-rep-dante-pittman-committee-appointments,https://wilson-co-schools.cablecast.tv,,,,,,
cablecast,wmcf.cablecast.tv,,3,,2026-08-18-plan-commission-8-18-26,https://wmcf.cablecast.tv,,,,,,
cablecast,buenapark.cablecast.tv,,2,,2026-07-23-bp-planning-commission-july-22-2026,https://buenapark.cablecast.tv,,"Buena Park, CA",us:place:0608786,"hostname ""buenapark.cablecast.tv"" -> ""Buenapark""",,
cablecast,capitoltvri.cablecast.tv,,2,,2026-07-29-inspector-general-independent-advisory-commission-7-29-2026,https://capitoltvri.cablecast.tv,,,,,,
cablecast,carync.cablecast.tv,,2,,2026-07-24-cary-council-meeting-july-23-2026,https://carync.cablecast.tv,,"Cary, NC",us:place:3710740,"hostname ""carync.cablecast.tv"" -> ""Cary, NC""",,
cablecast,cerritos.cablecast.tv,,2,,2026-08-18-senior-services-commission-special-meeting-august-18-2026,https://cerritos.cablecast.tv,,"Cerritos, CA",us:place:0612552,"hostname ""cerritos.cablecast.tv"" -> ""Cerritos""",,
cablecast,charlescountymd.cablecast.tv,,2,,2026-08-17-planning-commission-august-17-2026,https://charlescountymd.cablecast.tv,,"Charles County, MD",us:county:24017,"hostname ""charlescountymd.cablecast.tv"" -> ""Charlescounty, MD""",,
cablecast,cityofbrea.cablecast.tv,,2,,2026-07-22-july-21-2026-brea-city-council-meeting,https://cityofbrea.cablecast.tv,,"Brea, CA",us:place:0608100,"hostname ""cityofbrea.cablecast.tv"" -> ""Brea""",,
cablecast,cityofredlands.cablecast.tv,,2,,2026-07-22-redlands-city-council-meeting-july-21-2026,https://cityofredlands.cablecast.tv,,"Redlands, CA",us:place:0659962,"hostname ""cityofredlands.cablecast.tv"" -> ""Redlands""",,
cablecast,desplainesil.cablecast.tv,,2,,2026-08-03-city-council-meeting-8-3-2026,https://desplainesil.cablecast.tv,,"Des Plaines, IL",us:place:1719642,"hostname ""desplainesil.cablecast.tv"" -> ""Desplaines, IL""",,
cablecast,gastoncoschools.cablecast.tv,,2,,2026-06-16-board-of-education-good-news-and-classroom-moment-june-2026,https://gastoncoschools.cablecast.tv,,,,,,
cablecast,hometown.cablecast.tv,,2,,2022-04-13-westown-city-council-meeting,https://hometown.cablecast.tv,,"Hometown, IL",us:place:1735866,"hostname ""hometown.cablecast.tv"" -> ""Hometown""",,
cablecast,lamoineme.cablecast.tv,,2,,2026-08-12-conservation-commission-august-12-2026,https://lamoineme.cablecast.tv,,"Lamoine Town, ME",us:cousub:2300938180,"hostname ""lamoineme.cablecast.tv"" -> ""Lamoine, ME""",,
cablecast,methuentv.cablecast.tv,,2,,2025-10-17-elections-2025-school-committee-forum,https://methuentv.cablecast.tv,,,,,,
cablecast,portagemi.cablecast.tv,,2,,2026-08-06-planning-commission-meeting-8-6-26,https://portagemi.cablecast.tv,,"Portage (city), MI",us:place:2665560,"hostname ""portagemi.cablecast.tv"" -> ""Portage, MI""",,
cablecast,reflect-sttammany.cablecast.tv,,2,,2026-08-06-st-tammany-parish-zoning-meeting-august-4-2026,https://reflect-sttammany.cablecast.tv,,,,,,
cablecast,wbrw.cablecast.tv,,2,,2026-08-18-washington-township-zoning-board-of-appeals-aug-10th-2026,https://wbrw.cablecast.tv,,,,,,
cablecast,yourtown.cablecast.tv,,2,,2022-04-13-westown-city-council-meeting-dbc5c8,https://yourtown.cablecast.tv,,,,,,
cablecast,agawamvod.cablecast.tv,,1,,2024-09-19-mayor-johnson-coffee-chat-september-18-2024,https://agawamvod.cablecast.tv,,,,,,
cablecast,betv-bensenville.cablecast.tv,,1,,2025-12-16-vob-board-meeting-12-16-2025,https://betv-bensenville.cablecast.tv,,,,,,
cablecast,bourne.cablecast.tv,,1,,2023-02-06-bourne-iswm-recycling-updates-february-8-2023,https://bourne.cablecast.tv,,"Bourne Town, MA",us:cousub:2500107175,"hostname ""bourne.cablecast.tv"" -> ""Bourne""",,
cablecast,cctv-vod.cablecast.tv,,1,,2025-01-27-chs-girls-hockey-vs-westwood-jan-22-2025,https://cctv-vod.cablecast.tv,,,,,,
cablecast,chabot.cablecast.tv,,1,,2021-01-21-white-house-chronicle-the-challenges-facing-president-joe-biden-briti,https://chabot.cablecast.tv,,,,,,
cablecast,champaign-cablecast.cablecast.tv,,1,,2026-08-18-champaign-city-council-8-18-26,https://champaign-cablecast.cablecast.tv,,"Champaign (city), IL",us:place:1712385,"hostname ""champaign-cablecast.cablecast.tv"" -> ""Champaign""",,
cablecast,champaign.cablecast.tv,,1,,2026-08-24-board-of-fire-and-police-commissioners-8-24-26,https://champaign.cablecast.tv,,"Champaign (city), IL",us:place:1712385,"hostname ""champaign.cablecast.tv"" -> ""Champaign""",,
cablecast,city-slp-mn.cablecast.tv,,1,St,st-2025-12-16-st-louis-park-high-school-wind-ensemble-concert-dec-11-2025,https://city-slp-mn.cablecast.tv,,,,,,
cablecast,cityofsantee.cablecast.tv,,1,Santee,santee-2025-05-19-brews-and-bites-2025-supports,https://cityofsantee.cablecast.tv,,,,,,
cablecast,gnat.cablecast.tv,,1,,2025-07-09-video-announcement-good-trouble-lives-on-protest,https://gnat.cablecast.tv,,,,,,
cablecast,ictv.cablecast.tv,,1,,2023-11-20-laprairie-city-council-11-20-2023,https://ictv.cablecast.tv,,,,,,
cablecast,jpschools.cablecast.tv,,1,,2024-10-08-we-choose-amanda-kihnemann,https://jpschools.cablecast.tv,,,,,,
cablecast,kdol.cablecast.tv,,1,,ousd-office-of-equity-building-community-connection-and-belonging,https://kdol.cablecast.tv,,,,,,
cablecast,lakecounty.legistar.com,,1,Lake County Illinois,lake-county-illinois-2026-04-03-technology-committee-april-3-2026,https://lakecounty.legistar.com,,,,,,
cablecast,marintv.cablecast.tv,,1,,the-bible-study,https://marintv.cablecast.tv,,,,,,
cablecast,marthasvineyard.cablecast.tv,,1,,2025-10-09-tisbury-sb-10-7-25,https://marthasvineyard.cablecast.tv,,,,,,
cablecast,metvweb.cablecast.tv,,1,,2025-08-06-2025-pace-center-for-girls-graduation-ceremony,https://metvweb.cablecast.tv,,,,,,
cablecast,mycommunityfocus.cablecast.tv,,1,,2026-04-08-macedonia-mayor-s-report-april-may-2026,https://mycommunityfocus.cablecast.tv,,,,,,
cablecast,northbrunswicktv.cablecast.tv,,1,,2025-04-17-township-council-meeting-4-21-2025,https://northbrunswicktv.cablecast.tv,,,,,,
cablecast,northpenn.cablecast.tv,,1,,2025-10-03-mornings-10-3-25,https://northpenn.cablecast.tv,,,,,,
cablecast,salem.cablecast.tv,,1,Salem,salem-2025-08-09-salembration-historical-narration-of-american-revolution-vetera,https://salem.cablecast.tv,,,,,,
cablecast,sapatv.cablecast.tv,,1,,2023-08-07-veterans-stories-paul-batchelder-7-7-23,https://sapatv.cablecast.tv,,,,,,
cablecast,sttammany.cablecast.tv,,1,,2026-08-28-twila,https://sttammany.cablecast.tv,,,,,,
cablecast,thurston.cablecast.tv,,1,Thurston,lwv-primary-forum-2022-dist-22-pos-2,https://thurston.cablecast.tv,,,,,,
cablecast,verdevalleytv.cablecast.tv,,1,,2022-12-12-steam-episode-7-fish-s-garden,https://verdevalleytv.cablecast.tv,,,,,,
cablecast,vod-allencounty.cablecast.tv,,1,,2025-06-11-summit-city-singers-one-piano-four-hands-june-8th-2025,https://vod-allencounty.cablecast.tv,,,,,,
cablecast,vod-eagan.cablecast.tv,,1,,2026-04-24-access-to-democracy,https://vod-eagan.cablecast.tv,,"Eagan, MN",us:place:2717288,"hostname ""vod-eagan.cablecast.tv"" -> ""Eagan""",,
cablecast,vod-framingham.cablecast.tv,,1,,school-committee-6-17-26,https://vod-framingham.cablecast.tv,,"Framingham, MA",us:place:2524960,"hostname ""vod-framingham.cablecast.tv"" -> ""Framingham""",,
cablecast,vsctv.cablecast.tv,,1,,2022-06-28-talk-of-the-town-engineering,https://vsctv.cablecast.tv,,,,,,
cablecast,wausau-wi.cablecast.tv,,1,,2025-07-14-wausau-school-board-meeting-7-14-25,https://wausau-wi.cablecast.tv,,"Wausau (city), WI",us:place:5584475,"hostname ""wausau-wi.cablecast.tv"" -> ""Wausau, WI""",,
cablecast,westernhills.cablecast.tv,,1,,andover-summer-concert-series-07-11-2025-barney-martin-1,https://westernhills.cablecast.tv,,,,,,
