page_id,slug,corpus_role,tier_before,platform,tenant_host,source_url,jurisdiction,gov_id_before,tier_after_no_signals,fetched,gov_id_after,tier_after,changed,signals_used,country_after,state_after,ca_province_after
765,ny-state-assembly-10-9-25-assembly-public-hearing-on-the-impact-and-effectivenes,target,unresolved,granicus,nystateassembly.granicus.com,https://nystateassembly.granicus.com/player/clip/9159,Ny State Assembly,,unresolved,True,,unresolved,False,,us,,
768,town-of-chapel-hill-2026-06-10-town-council-on-2026-06-10-6-00-pm,target,unresolved,granicus,chapelhill.granicus.com,https://chapelhill.granicus.com/player/clip/8134,Town of Chapel Hill,,unresolved,True,,unresolved,False,,us,,
779,chula-vista-public-comments-2026-05-19-city-council-meeting,target,unresolved,escribe,pub-chulavista.escribemeetings.com,https://pub-chulavista.escribemeetings.com/Meeting.aspx?Agenda=PostAgenda&Id=662715ac-708c-4c6b-b604-1a87172b0989&lang=English,Chula Vista Public Comments,rtr:us:ca:chula-vista-public-comments,unverified,True,us:place:0613392,registry,True,org_names,us,CA,
783,cofs-2023-12-12-regular-council-meeting,target,unresolved,escribe,pub-cofs.escribemeetings.com,https://pub-cofs.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=58293cac-3902-4247-b308-e088f8570311&lang=English,Cofs,,unresolved,True,ca:csd:4811056,registry,True,org_names,ca,AB,AB
788,elliot-lake-gis-services-ssmic-2025-12-08-council,target,unresolved,escribe,pub-elliotlake.escribemeetings.com,https://pub-elliotlake.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=3b46dae7-b9ce-43db-8bbc-95a0f26020a1&lang=English,Elliot Lake GIS Services SSMIC,rtr:ca:on:elliot-lake-gis-services-ssmic,unverified,True,ca:csd:3557041,registry,True,org_names,ca,ON,ON
799,llbc-2025-07-22-cold-mix-township-road-660a-and-range-road-134-regular-council-m,target,unresolved,escribe,pub-llbc.escribemeetings.com,https://pub-llbc.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=aa2665c4-ad08-43ad-8247-8b9babbff814&Item=29&Tab=attachments&lang=English,Llbc,,unresolved,True,,unresolved,False,,ca,,
805,oliver-2025-12-08-special-open-council-meeting,target,unresolved,escribe,pub-oliver.escribemeetings.com,https://pub-oliver.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=e1e0450b-d89d-4b85-8b28-7ae632ad67d5&lang=English,Town of Oliver,,unresolved,True,,unresolved,False,,us,,
825,creston-2025-10-14-council-meeting,target,unresolved,escribe,pub-creston.escribemeetings.com,https://pub-creston.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=7842f25a-1553-4e34-b5cd-b009d49fa8f2&lang=English,Town of Creston,,unresolved,True,,unresolved,False,,us,,
827,cvrd-2026-07-08-2026-cowichan-valley-regional-district-climate-projections-commi,target,unresolved,escribe,pub-cvrd.escribemeetings.com,https://pub-cvrd.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=bf1e4c40-043e-4f56-a71b-a55898b747cb&Item=8858&Tab=attachments&lang=English,Cvr D,,unresolved,True,,unresolved,False,,us,,
840,halifax-2026-06-16-case-23563-appeal-of-site-plan-approval-highway-7-porters-lak,target,unresolved,escribe,pub-halifax.escribemeetings.com,https://pub-halifax.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=12be73ef-3727-4a0c-86a8-05f82372e57a&Item=40&Tab=attachments&lang=English,Halifax,,unresolved,True,,unresolved,False,,us,,
850,langford-sd-2026-03-02-council-meeting,target,unresolved,escribe,pub-langford.escribemeetings.com,https://pub-langford.escribemeetings.com/Meeting.aspx?Agenda=PostMinutes&Id=f1c3472c-0a03-48f6-8059-884d854c7284&lang=English,Langford,,unresolved,True,,unresolved,False,,us,,
