gov_id,name,state,country,gov_kind,population,domain,reject_reason,access_mode,rung_answered,bucket,platform,hit_url,final_url,waf_family,note,elapsed_seconds,exception,final_url_is_youtube,direct_file_plausible
37:4200327608,Frazer township,PA,us,township,,frazertownship.net,no-platform-link-found,plain,plain,dead,,,https://frazertownship.net,none,"reached, hop links checked, no platform link found",5.2,,False,
1:4817095,Mackenzie County,AB,ca,municipality,,mackenziecounty.com,no-platform-link-found,plain,plain,dead,,,https://www.mackenziecounty.com/,none,"reached, hop links checked, no platform link found",10.4,,False,
37:3300545460,Marlborough town,NH,us,township,,marlboroughnh.gov,no-platform-link-found,plain,plain,dead,,,https://www.marlboroughnh.gov/,none,"reached, hop links checked, no platform link found",17.9,,False,
38:4014200,Choctaw city,OK,us,municipality,12358,mychoctaw.org,no-platform-link-found,plain,plain,dead,,,https://www.mychoctaw.org/,none,"reached, hop links checked, no platform link found",4.0,,False,
37:5504183025,Wabeno town,WI,us,township,,wabeno.org,no-platform-link-found,plain,plain,dead,,,https://wabeno.org,cloudflare,"reached, hop links checked, no platform link found",17.5,,False,
1:2462060,Saint-Donat,QC,ca,municipality,5099,www.saint-donat.ca,no-platform-link-found,plain,plain,plain,direct_file,https://www.saint-donat.ca/wp-content/uploads/2023/04/Site_Web_Ete2_1.mp4,https://www.saint-donat.ca,none,,0.6,,False,True
1:4715038,Alvena,SK,ca,municipality,75,www.facebook.com,no-platform-link-found,plain,plain,dead,,,https://www.facebook.com,none,"reached, hop links checked, no platform link found",16.7,,False,
38:3843580,Kulm city,ND,us,municipality,363,kulmnd.com,no-platform-link-found,plain,plain,plain,youtube,https://youtu.be/Ze5nSG-wVg0,https://www.kulmnd.com/local-resources.html,cloudflare,,13.7,,False,
1:2405077,Cascapédia--Saint-Jules,QC,ca,municipality,764,www.cascapediastjules.com,no-platform-link-found,plain,plain,dead,,,https://www.cascapediastjules.com,none,"headless failed: Error: Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://www.cascapediastjules.com/
Call log:
  - navigating to ""https://www.cascapediastjules.com/"", waiting until ""load""
",3.7,,False,
38:3646998,Middleport village,NY,us,municipality,1688,middleportny.gov,no-platform-link-found,plain,plain,dead,,,https://middleportny.gov,cloudflare,"reached, hop links checked, no platform link found",12.8,,False,
37:5506373125,Shelby town,WI,us,township,,townofshelbywi.gov,no-platform-link-found,plain,plain,dead,,,https://townofshelbywi.gov,none,"reached, hop links checked, no platform link found",17.7,,False,
38:2859480,Poplarville city,MS,us,municipality,2898,poplarvillems.gov,no-platform-link-found,challenge,challenge,challenge,,,https://www.poplarvillems.gov/,cloudflare,,0.9,,False,
38:2972034,Sycamore Hills village,MO,us,municipality,548,villageofsycamorehills.com,no-platform-link-found,plain,plain,dead,,,https://villageofsycamorehills.com,cloudflare,"headless failed: Error: Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://villageofsycamorehills.com/
Call log:
  - navigating to ""https://villageofsycamorehills.com/"", waiting until ""load""
",8.0,,False,
1:4817031,Opportunity No. 17,AB,ca,municipality,3382,mdopportunity.ab.ca,no-platform-link-found,plain,plain,dead,,,https://www.mdopportunity.ab.ca/,cloudflare,"reached, hop links checked, no platform link found",19.7,,False,
38:4811155,Buffalo Springs Lake village,TX,us,municipality,449,buffalospringslake.net,no-platform-link-found,plain,plain,dead,,,https://www.buffalospringslake.net/,none,"reached, hop links checked, no platform link found",8.9,,False,
38:2940592,Lanagan town,MO,us,municipality,381,cityoflanagan.com,no-platform-link-found,plain,plain,dead,,,https://cityoflanagan.com,cloudflare,"reached, hop links checked, no platform link found",9.6,,False,
38:4556140,Pickens city,SC,us,municipality,3188,cityofpickens.gov,no-platform-link-found,dead,dead,dead,,,,none,dns-fail on https://cityofpickens.gov; dns-fail on https://www.cityofpickens.gov; dns-fail on http://cityofpickens.gov,4.3,,False,
38:2050525,Nickerson city,KS,us,municipality,1052,nickersonks.gov,no-platform-link-found,plain,plain,dead,,,https://nickersonks.gov,none,"headless failed: Error: Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://nickersonks.gov/
Call log:
  - navigating to ""https://nickersonks.gov/"", waiting until ""load""
",3.5,,False,
38:0256320,Nuiqsut city,AK,us,municipality,486,cityofnuiqsut.org,no-platform-link-found,plain,plain,dead,,,https://cityofnuiqsut.org,none,"headless failed: Error: Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://cityofnuiqsut.org/
Call log:
  - navigating to ""https://cityofnuiqsut.org/"", waiting until ""load""
",3.5,,False,
38:4805288,Bailey's Prairie village,TX,us,municipality,799,baileysprairie.org,no-platform-link-found,plain,plain,dead,,,https://baileysprairie.org,none,"reached, hop links checked, no platform link found",12.0,,False,
37:2611184020,Warren township,MI,us,township,,www.warrentownshipmi.com,no-platform-link-found,plain,plain,dead,,,https://www.warrentownshipmi.com,none,"reached, hop links checked, no platform link found",5.1,,False,
38:3602583,Arkport village,NY,us,municipality,766,villageofarkport.com,no-platform-link-found,plain,plain,dead,,,https://www.villageofarkport.com/,none,"reached, hop links checked, no platform link found",7.1,,False,
1:4703019,Mankota,SK,ca,municipality,198,www.facebook.com,no-platform-link-found,plain,plain,dead,,,https://www.facebook.com,none,"reached, hop links checked, no platform link found",17.0,,False,
38:0802355,Antonito town,CO,us,municipality,621,townofantonito.org,no-platform-link-found,plain,plain,dead,,,https://townofantonito.org,cloudflare,"headless failed: Error: Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://townofantonito.org/
Call log:
  - navigating to ""https://townofantonito.org/"", waiting until ""load""
",3.7,,False,
1:2439015,Notre-Dame-de-Ham,QC,ca,municipality,414,www.notre-dame-de-ham.ca,no-platform-link-found,plain,plain,dead,,,https://www.notre-dame-de-ham.ca,none,"headless failed: Error: Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://www.notre-dame-de-ham.ca/
Call log:
  - navigating to ""https://www.notre-dame-de-ham.ca/"", waiting until ""load""
",4.4,,False,
37:1703107939,Bremen township,IL,us,township,,brementownship.org,no-platform-link-found,plain,plain,dead,,,https://brementownship.org,none,"reached, hop links checked, no platform link found",31.9,,False,
38:3634264,Heuvelton village,NY,us,municipality,707,heuveltonny.com,no-platform-link-found,plain,plain,dead,,,https://www.heuveltonny.com/,cloudflare,"reached, hop links checked, no platform link found",17.9,,False,
37:2601985160,Weldon township,MI,us,township,,www.weldontwp.org,no-platform-link-found,plain,plain,dead,,,https://www.weldontwp.org,none,"reached, hop links checked, no platform link found",15.3,,False,
38:3775960,Yadkinville town,NC,us,municipality,3026,yadkinville.org,no-platform-link-found,plain,plain,plain,youtube,https://www.youtube.com/embed/PM8YQb1-RwU?autoplay=0&start=0&rel=0&mute=0,https://www.yadkinville.org/,none,,1.4,,False,
38:1064320,Seaford city,DE,us,municipality,8952,seafordde.com,no-platform-link-found,plain,plain,dead,,,https://www.seafordde.com/,cloudflare,"reached, hop links checked, no platform link found",95.0,,False,
38:2928090,Grain Valley city,MO,us,municipality,16859,grainvalleymo.gov,no-platform-link-found,plain,plain,plain,youtube,https://www.youtube.com/results?search_query=city+of+grain+valley,https://www.cityofgrainvalley.org/officials/meetings/,cloudflare,,3.9,,False,
1:4805002,Carmangay,AB,ca,municipality,269,carmangay.ca,no-platform-link-found,plain,plain,plain,direct_file,https://carmangay.ca/wp-content/uploads/2025/11/November-17-2025-Regular-Meeting.mp3?_=1,https://carmangay.ca/village-council/council-meeting-recordings/,none,,7.1,,False,True
38:5561025,Palmyra village,WI,us,municipality,1719,villageofpalmyra.com,no-platform-link-found,plain,plain,dead,,,https://villageofpalmyra.com,none,"reached, hop links checked, no platform link found",19.2,,False,
