gov_id,name,state,population,domain,hub_url,hub_fetch_status,home_fetch_status,hop_candidates_checked,fetches_used,outcome,platform,hit_url,hit_source,needs_listing_discovery,all_platforms_found,note,error
38:1632140,Gooding city,ID,3825,https://goodingidaho.org,https://www.goodingidaho.org/agendas,ok,ok,16,10,no_platform_link_found,,,,False,,"hub_hop_link redirects off-host, not fetched: https://towncloud-core-prod.s3.us-west-2.amazonaws.com/uploads/gooding-id/meetings/agenda_packet/minutes/1099/city-council-public-hearing-and-regular-meeting-agenda_minutes_2026-08-17_213013.pdf; hub_hop_link redirects off-host, not fetched: https://towncloud-core-prod.s3.us-west-2.amazonaws.com/uploads/gooding-id/meetings/agenda_packet/minutes/1098/urban-renewal-meeting_minutes_2026-08-13_213453.pdf; home_hop_link redirects off-host, not fetched: ht",
1:5931012,Pemberton,BC,3407,https://pemberton.ca,https://pub-pemberton.escribemeetings.com/?FillWidth=1,ok,ok,0,2,platform_found,escribe,https://pub-pemberton.escribemeetings.com/Meeting.aspx?Id=e95b6e7c-115e-47ae-83e3-a7fe53cae97a&lang=English,hub_page_anchor,False,escribe:https://pub-pemberton.escribemeetings.com/Meeting.aspx?Id=e95b6e7c-115e-47ae-83e3-a7fe53cae97a&lang=English,,
38:3957008,North Royalton city,OH,30894,https://northroyalton.gov,https://northroyalton.gov/government/council_office/index.php,ok,ok,16,10,no_platform_link_found,,,,False,,"home_hop_link redirects off-host, not fetched: https://cms7files.revize.com/northroyalton/Government/City Council/2026/City Council Committees June 2026.pdf",
1:2451065,Saint-Alexis-des-Monts,QC,2999,https://www.saint-alexis-des-monts.ca,https://www.saint-alexis-des-monts.ca/fr/la-municipalite/seances-du-conseil,ok,ok,0,2,platform_found,direct_file,https://www.saint-alexis-des-monts.ca/upload/seances-du-conseil/2026-01-12_seance_ordinaire.mp3,hub_page_anchor,False,direct_file:https://www.saint-alexis-des-monts.ca/upload/seances-du-conseil/2026-01-12_seance_ordinaire.mp3,,
38:3764840,Stedman town,NC,1303,https://townofstedman.com,https://www.townofstedman.com/town-board-of-commissioners/,ok,ok,8,10,no_platform_link_found,,,,False,,,
38:1676780,Stanley city,ID,122,https://cityofstanleyid.gov,https://www.cityofstanleyid.gov/city-meetings,ok,ok,5,7,no_platform_link_found,,,,False,,,
38:3601033,Albion village,NY,5704,https://villageofalbionny.gov,https://villageofalbionny.gov/departments/#trustees,ok,ok,4,6,no_platform_link_found,,,,False,,,
36:36063,Niagara County,NY,209570,https://niagaracounty.gov,https://niagaracounty.gov/government/legislature/agendas_legislative_meetings/index.php,ok,ok,0,2,platform_found,youtube,https://www.youtube.com/channel/UCljkvIWQiY6O-ZdjRBipL8Q,hub_page_anchor,False,youtube:https://www.youtube.com/channel/UCljkvIWQiY6O-ZdjRBipL8Q,,
38:4780360,White Pine town,TN,2584,https://whitepinetn.gov,https://whitepinetn.gov/agendas-minutes/,ok,ok,16,10,no_platform_link_found,,,,False,,,
38:3620346,Deposit village,NY,1413,https://townofdepositny.gov,https://townofdepositny.gov/the-board/,ok,ok,4,6,no_platform_link_found,,,,False,,"home_hop_link redirects off-host, not fetched: https://www.delcony.gov/departments/tax/docs/rolls/2025/Tentative/TDeposit/index.html",
