gov_id,unit_name,platform,outcome,reason,seed_url,title,date,page_url
ca:csd:3502008,"Hawkesbury, ON",escribe,skipped,escribe tenant calendar: no HasVideo meeting via GetCalendarMeetings in the last 120 days (https://pub-hawkesbury.escribemeetings.com),,,,
ca:csd:3502023,"Alfred and Plantagenet, ON",escribe,skipped,escribe: no escribe link found on hit_source_url or first 4 hop2_urls,,,,
ca:csd:3507006,"Augusta, ON",escribe,skipped,escribe: no escribe link found on hit_source_url or first 4 hop2_urls,,,,
ca:csd:3509004,"Smiths Falls, ON",escribe,skipped,escribe tenant calendar: no HasVideo meeting via GetCalendarMeetings in the last 120 days (https://pub-smithsfalls.escribemeetings.com),,,,
ca:csd:3509028,"Carleton Place, ON",escribe,skipped,escribe tenant calendar: no HasVideo meeting via GetCalendarMeetings in the last 120 days (https://pub-carletonplace.escribemeetings.com),,,,
ca:csd:3509039,"Lanark Highlands, ON",escribe,skipped,escribe tenant calendar: no HasVideo meeting via GetCalendarMeetings in the last 120 days (https://pub-lanarkhighlands.escribemeetings.com),,,,
ca:csd:3515013,"Cavan Monaghan, ON",escribe,skipped,escribe tenant calendar: no HasVideo meeting via GetCalendarMeetings in the last 120 days (https://pub-cavanmonaghan.escribemeetings.com),,,,
ca:csd:3515023,"Douro-Dummer, ON",escribe,skipped,escribe tenant calendar: no HasVideo meeting via GetCalendarMeetings in the last 120 days (https://pub-douro-dummer.escribemeetings.com),,,,
ca:csd:3519046,"Aurora, ON",escribe,skipped,escribe tenant calendar: no HasVideo meeting via GetCalendarMeetings in the last 120 days (https://pub-auroraon.escribemeetings.com),,,,
ca:csd:3523043,"Minto, ON",escribe,skipped,escribe: no escribe link found on hit_source_url or first 4 hop2_urls,,,,
ca:csd:3523050,"Wellington North, ON",escribe,skipped,escribe: no escribe link found on hit_source_url or first 4 hop2_urls,,,,
ca:csd:3526021,"West Lincoln, ON",escribe,skipped,escribe tenant calendar: no HasVideo meeting via GetCalendarMeetings in the last 120 days (https://pub-westlincoln.escribemeetings.com),,,,
ca:csd:3526032,"Welland, ON",escribe,queued_tier3,"real video, no transcript yet -- appended to tier3_auto_transcription_queue.txt",https://pub-elgincounty.escribemeetings.com/Meeting.aspx?Id=401f3f40-356d-4776-bb76-b6061d58f2a5,Committee of the Whole Meeting,2026-09-08,
ca:csd:3526037,"Thorold, ON",escribe,skipped,escribe tenant calendar: no HasVideo meeting via GetCalendarMeetings in the last 120 days (https://pub-thorold.escribemeetings.com),,,,
ca:csd:3526065,"Grimsby, ON",escribe,skipped,escribe tenant calendar: no HasVideo meeting via GetCalendarMeetings in the last 120 days (https://pub-grimsby.escribemeetings.com),,,,
ca:csd:3529006,"Brantford, ON",escribe,skipped,escribe tenant calendar: no HasVideo meeting via GetCalendarMeetings in the last 120 days (https://pub-brantford.escribemeetings.com),,,,
ca:csd:3530027,"Wellesley, ON",escribe,skipped,escribe tenant calendar: no HasVideo meeting via GetCalendarMeetings in the last 120 days (https://pub-wellesley.escribemeetings.com),,,,
ca:csd:3530035,"Woolwich, ON",escribe,skipped,escribe tenant calendar: no HasVideo meeting via GetCalendarMeetings in the last 120 days (https://pub-woolwich.escribemeetings.com),,,,
ca:csd:3534042,"West Elgin, ON",escribe,skipped,escribe: no escribe link found on hit_source_url or first 4 hop2_urls,,,,
ca:csd:3539005,"Southwest Middlesex, ON",escribe,skipped,escribe tenant calendar: no HasVideo meeting via GetCalendarMeetings in the last 120 days (https://pub-southwestmiddlesex.escribemeetings.com),,,,
ca:csd:3539027,"Thames Centre, ON",escribe,skipped,escribe tenant calendar: no HasVideo meeting via GetCalendarMeetings in the last 120 days (https://pub-thamescentre.escribemeetings.com),,,,
ca:csd:3539033,"Middlesex Centre, ON",escribe,skipped,escribe tenant calendar: no HasVideo meeting via GetCalendarMeetings in the last 120 days (https://pub-middlesexcentre.escribemeetings.com),,,,
ca:csd:3539041,"North Middlesex, ON",escribe,skipped,escribe tenant calendar: no HasVideo meeting via GetCalendarMeetings in the last 120 days (https://pub-northmiddlesex.escribemeetings.com),,,,
ca:csd:3539060,"Lucan Biddulph, ON",escribe,skipped,escribe tenant calendar: no HasVideo meeting via GetCalendarMeetings in the last 120 days (https://pub-lucanbiddulph.escribemeetings.com),,,,
ca:csd:3540005,"South Huron, ON",escribe,skipped,escribe tenant calendar: no HasVideo meeting via GetCalendarMeetings in the last 120 days (https://pub-southhuron.escribemeetings.com),,,,
ca:csd:3540055,"North Huron, ON",escribe,skipped,escribe: no escribe link found on hit_source_url or first 4 hop2_urls,,,,
ca:csd:3542005,"Southgate, ON",escribe,skipped,escribe: no escribe link found on hit_source_url or first 4 hop2_urls,,,,
ca:csd:3542029,"Hanover, ON",escribe,skipped,escribe: no escribe link found on hit_source_url or first 4 hop2_urls,,,,
ca:csd:3542053,"Georgian Bluffs, ON",escribe,skipped,escribe tenant calendar: no HasVideo meeting via GetCalendarMeetings in the last 120 days (https://pub-georgianbluffs.escribemeetings.com),,,,
ca:csd:3547048,"Renfrew, ON",escribe,skipped,escribe: resolved but no transcript/agenda/video (https://pub-renfrew.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=04d241cc-8532-44a4-ba79-5cac4121f315&lang=English),,,,
ca:csd:3557061,"Sault Ste. Marie, ON",escribe,skipped,escribe: no escribe link found on hit_source_url or first 4 hop2_urls,,,,
ca:csd:4812002,"Cold Lake, AB",escribe,skipped,escribe: resolved but no transcript/agenda/video (https://pub-coldlake.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=0003e7ce-313c-464b-8d21-7324a9b64e25&lang=English),,,,
ca:csd:5909020,"Chilliwack, BC",escribe,skipped,escribe: resolved but no transcript/agenda/video (https://pub-chilliwack.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=0233b35c-825a-4a4a-8ab2-b8095f9ad1d4&lang=English),,,,
ca:csd:5933006,"Merritt, BC",escribe,skipped,escribe: resolved but no transcript/agenda/video (https://pub-merritt.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=013f17a2-f3ef-48d3-bb6b-ce33302de0e4&lang=English),,,,
us:place:0177256,"Tuscaloosa city, AL",vimeo,skipped,vimeo: no vimeo link found on hit_source_url or first 4 hop2_urls,,,,
us:place:0603064,"Atascadero city, CA",escribe,skipped,escribe: resolved but no transcript/agenda/video (https://pub-atascadero.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=05dfc70d-336a-45a8-9c11-18a961b7a499&lang=English),,,,
us:place:0616742,"Covina city, CA",escribe,skipped,escribe: resolved but no transcript/agenda/video (https://pub-covinaca.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=33095028-2a8c-44da-bd07-bb63c6939e4f&lang=English),,,,
us:place:1301052,"Albany city, GA",escribe,skipped,escribe: resolved but no transcript/agenda/video (https://pub-albanyga.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=80a65f32-e769-4a5d-a13e-005d8aaa3059&lang=English),,,,
us:place:1319000,"Columbus city, GA",granicus,skipped,granicus: no granicus link found on hit_source_url or first 4 hop2_urls,,,,
us:place:2509000,"Brockton city, MA",escribe,skipped,escribe: no escribe link found on hit_source_url or first 4 hop2_urls,,,,
us:place:2970000,"Springfield city, MO",civicclerk,skipped,civicclerk: no past CivicClerk events with real media found via tenant Events API,,,,
us:place:3736080,"Knightdale town, NC",escribe,skipped,escribe: resolved but no transcript/agenda/video (https://pub-knightdalenc.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=111279b9-db4a-49f7-a657-ba11e8471d0f&lang=English),,,,
us:place:1351670,"Milton city, GA",escribe,ingested_tier1_2,"526 transcript segments (matched an EXISTING page, not newly created)",https://pub-milton.escribemeetings.com/Meeting.aspx?Id=957bd13f-1e24-4348-8f1d-2bd885725d27&Agenda=Agenda,Committee of Adjustment and Consent,2026-07-30,/m/town-of-milton-on-2026-07-30-committee-of-adjustment-and-consent-4f5a63
us:place:1864260,"Richmond city, IN",escribe,queued_tier3,"real video, no transcript yet -- appended to tier3_auto_transcription_queue.txt",https://pub-richmond.escribemeetings.com/Meeting.aspx?Id=109ce607-21c0-4495-9bfc-e2024d85afac&Agenda=Agenda,Special Closed Session,2026-08-26,
us:place:2679120,"Tecumseh city, MI",escribe,ingested_tier1_2,"1089 transcript segments (matched an EXISTING page, not newly created)",https://tecumseh-pub.escribemeetings.com/Meeting.aspx?Id=2fa4a405-84f3-40e7-93c0-0a58f47f18ed&Agenda=Agenda,Special Council Meeting,2026-08-19,/m/2026-08-19-special-council-meeting
