tenant_host,match,gov_id,strength,source,evidence,gov_name,solid_pages,needs_plumbing
videoplayer.telvue.com,player/2bm0gzQWeVRzdCgvjXziXKwO3icSKh05,us:place:2642160,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/city-of-kalamazoo-mi-city-of-kalamazoo-august-19-2026-environmental-concerns-com",Kalamazoo city,1,False
videoplayer.telvue.com,player/5nQYx7H7WpbP8AVWnkzXsWu69pAXI7Yq,us:place:4649600,fallback,archive_study_2026-09-09,"2 solidly-identified archive page(s), e.g. /m/pierre-sd-pierre-city-commission",Pierre city,2,False
videoplayer.telvue.com,player/994DtmGEsi0VDYK3jJI2BJ72GfgNIpU2,us:cousub:2501743895,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/natick-natick-select-board-june-10-2026",Natick town,1,False
videoplayer.telvue.com,player/AbfNhigIqnG-4roGCxaFupXEKfme9dfT,us:county:24035,fallback,archive_study_2026-09-09,"8 solidly-identified archive page(s), e.g. /m/queen-anne-s-county-md-county-commissioners-meeting-07-14-2026",Queen Anne's County,8,False
videoplayer.telvue.com,player/BjiipOg61Ac-YpNM5RFZy8f49fIMR7Kq,us:cousub:3610361984,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/riverhead-ny-2026-08-18-town-board-meeting",Riverhead town,1,False
videoplayer.telvue.com,player/FcqTL0OYMCGU6WlccUApyUL3twz4dm9V,us:place:3622865,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/class-of-52-reunion-77",East Rochester village,1,False
videoplayer.telvue.com,player/GdKmpgaiQkyNQGt9mPxbWef1BmyvHIOm,us:cousub:2500182525,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/yarmouth-ma-school-committee-meeting-march-12-2026",Yarmouth town,1,False
videoplayer.telvue.com,player/KhA_ULGx1UdtbPSnwHPL0t1TrYm6rQSe,us:place:4500550,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/city-council-aug-24-2026",Aiken city,1,False
videoplayer.telvue.com,player/LGzST4YdA6GIkRCa0H5CwbVBptJRJ3XD,us:place:3350260,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/nashua-nh-planning-board-5-1-2025",Nashua city,1,False
videoplayer.telvue.com,player/MYHMRKXBbGFaah07vKkZ_-J4SThODdPq,us:cousub:2501767665,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/stoneham-stoneham-board-of-appeals-2-26-26",Stoneham town,1,False
videoplayer.telvue.com,player/O7e6JrKKSJ3H_TX3VgEvpbSSL7Dbnrk2,us:cousub:2502144105,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/needham-ma-needham-select-board-8-11-26",Needham town,1,False
videoplayer.telvue.com,player/P8wyVTR2qr3_LDUHnb_mF4AFW6RckIeS,us:place:0864255,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/rifle-co-rifle-city-council-sept-2-2026",Rifle city,1,False
videoplayer.telvue.com,player/SzsDk6b45y6N97eOtbGQ_hsTcS0ZfQgT,us:cousub:3301129860,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/goffstown-nh-2026-07-13-select-board",Goffstown town,1,False
videoplayer.telvue.com,player/XRGvXhGamdDe6nt3IU9wLyKjf4BqK24i,us:cousub:3605537726,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/2024-03-19-town-2024-03-19-town-board-meeting",Irondequoit town,1,False
videoplayer.telvue.com,player/XSekkdEeRsk0JHQVHAvKJVka7_5VjxKP,us:cousub:3301552340,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/newmarket-zoning-newmarket-zoning-board-of-adjustments-meeting-january-8th-2024",Newmarket town,1,False
videoplayer.telvue.com,player/YGktjFZCLukJd_8Fx53BkVRk4tAZafS4,us:place:0880040,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/vail-co-vail-planning-and-environmental-commission",Vail town,1,False
videoplayer.telvue.com,player/_kXnKvdgxspEjD2MtLJ9bumkRAtNPxEG,us:cousub:2301516235,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/damariscotta-2026-04-01-damariscotta-select-board",Damariscotta town,1,False
videoplayer.telvue.com,player/cT30AQ_xtOBQF0oJM2gIVCDX9kjgfWZb,us:place:2521990,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/city-council-meeting-11-27-23",Everett city,1,False
videoplayer.telvue.com,player/ngKsmvOplIehacsLE9KAR_RKX5OityeV,us:place:1021200,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/regular-03-10-2025-regular-council",Dover city,1,False
videoplayer.telvue.com,player/sIzQDLdmoESPXu-bj6RPf3cS7BMEteKV,us:cousub:3401347500,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/montclair-nj-2026-03-11-board-of-education-meeting",Montclair township,1,False
videoplayer.telvue.com,player/talMNRSs41kuvSjXkD0nTr30kDZRGcjH,us:cousub:3605557144,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/penfield-ny-planning-board-meeting-march-26-2026-work-session",Penfield town,1,False
videoplayer.telvue.com,player/wuZKb9gwEY7sMACIIsr7VSJglB35kNZA,us:place:0654806,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/pacifica-ca-pacifica-city-council-8-24-26",Pacifica city,1,False
videoplayer.telvue.com,player/yHwj4ve7ki-YFodojv3bS3m9Y1sTcXCC,us:place:2738564,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/2026-08-25-city-council-meeting",Luverne city,1,False
townhallstreams.com,location_id=169,us:cousub:3300577380,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/troy-nh-2025-05-29-board-of-selectmen",Troy town,1,False
townhallstreams.com,location_id=69,us:cousub:0911044910,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/mansfield-ct-2020-04-20-planning-and-zoning-commission-meeting",Mansfield town,1,False
townhallstreams.com,location_id=94,us:cousub:2300140035,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/lisbon-me-2026-07-28-town-council-special-meeting",Lisbon town,1,False
vimeo.com,channel=acnewsonline,us:county:48015,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/austin-county-tx-2026-08-24-austin-county-commissioners-court-august-24-2026; owner title ""Austin County News Online""",Austin County,1,True
vimeo.com,channel=cityofcovingtonga,us:place:1320064,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/covington-ga-2026-09-01-council-meeting-9-1-26; owner title ""City of Covington, GA""",,1,True
vimeo.com,channel=cityofsolvang,us:place:0672576,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/solvang-ca-2025-12-18-design-review-committee-meeting-12-18-2025; owner title ""City of Solvang""",Solvang city,1,True
vimeo.com,channel=countysandiego,us:county:06073,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/county-of-san-diego-ca-2026-08-19-08-19-26-county-of-san-diego-board-of-supervis; owner title ""County of San Diego""",San Diego County,1,True
vimeo.com,channel=electricmagnolia,us:county:22039,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/evangeline-parish-la-2019-01-06-evangeline-parish-police-jury-s-french-meeting; owner title ""Electric Magnolia Studio""",Evangeline Parish,1,True
vimeo.com,channel=hamburgtownshipmi,us:cousub:2609336100,fallback,archive_study_2026-09-09,"5 solidly-identified archive page(s), e.g. /m/hamburg-mi-2026-09-16-09-16-2026-planning-commission; owner title ""Hamburg Township""",Hamburg township,5,True
vimeo.com,channel=newprovidence,us:place:3451810,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/new-providence-nj-2026-09-02-np-council-meet-090126; owner title ""Borough of New Providence, NJ""",New Providence borough,1,True
vimeo.com,channel=rocklandmaine,us:place:2363590,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/rockland-me-2024-12-09-2024-12-09-city-council-meeting; owner title ""City of Rockland, Maine""",Rockland city,1,True
vimeo.com,channel=secaucus,us:place:3466570,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/town-of-secaucus-nj-2026-08-27-08-25-2026-council-meeting; owner title ""Town of Secaucus""",Secaucus town,1,True
vimeo.com,channel=seekonkpublicschools,us:cousub:2500560645,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/2026-08-04-sps-sc; owner title ""Seekonk Public Schools""",Seekonk town,1,True
vimeo.com,channel=unanimousagency,us:county:20131,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/marshall-county-ks-2020-03-23-aumentum-technologies; owner title ""UNANIMOUS""",Nemaha County,1,True
vimeo.com,channel=user100351763,us:place:1714000,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/chicago-il-2026-07-15-city-council; owner title ""COC""",Chicago city,1,True
vimeo.com,channel=user11111668,us:county:01001,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/autauga-county-al-2023-08-02-autuagadronefootage; owner title ""Mike Scott""",Autauga County,1,True
vimeo.com,channel=user206352800,us:place:0654274,fallback,archive_study_2026-09-09,"7 solidly-identified archive page(s), e.g. /m/orland-ca-2026-08-18-orland-city-council-meeting-august-18-2026; owner title ""City of Orland""",Orland city,7,True
vimeo.com,channel=user258259098,us:place:1986520,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/city-of-winterset-ia-2026-06-03-winterset-city-council-6-1-26; owner title ""City of Winterset""",Winterset city,1,True
vimeo.com,channel=user34615714,us:place:4818092,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/cuero-tx-2026-08-12-08-10-26-cm; owner title ""City of Cuero""",Cuero city,1,True
vimeo.com,channel=user90262164,us:place:4878544,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/white-settlement-tx-2026-09-01-sep-1-2026-council; owner title ""City of White Settlement""",,1,True
www.youtube.com,channel=@AdjTos,ca:csd:3543003,fallback,archive_study_2026-09-09,"3 solidly-identified archive page(s), e.g. /m/township-of-adjala-tosorontio-2025-05-14-regular-council-14-may-2025; owner title ""Township of Adjala-Tosorontio""",Adjala-Tosorontio,3,True
www.youtube.com,channel=@AlbanyKALB,us:place:0600674,fallback,archive_study_2026-09-09,"2 solidly-identified archive page(s), e.g. /m/city-of-albany-ca-2024-03-25-albany-city-council-special-meeting-mar-25-2024; owner title ""AlbanyKALB""",Albany city,2,True
www.youtube.com,channel=@AndoverKSCity,us:place:2001800,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/andover-2026-07-28-city-council-28-jul-2026; owner title ""City of Andover, KS""",Andover city,1,True
www.youtube.com,channel=@AtlanticCountyNJ,us:county:34001,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/atlantic-county-nj-2026-07-08-7-7-26-commissioner-meeting; owner title ""Atlantic County NJ""",Atlantic County,1,True
www.youtube.com,channel=@Autauga_County_Schools,us:county:01001,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/autauga-county-al-2026-03-10-march-2026-board-meeting; owner title ""Autauga County Schools""",Autauga County,1,True
www.youtube.com,channel=@AvonIndianaGov,us:place:1802908,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/avon-in-2026-08-13-town-of-avon-indiana-town-council-work-session-meeting-august; owner title ""Avon Indiana Government""",Avon town,1,True
www.youtube.com,channel=@AvondaleEstatesTV,us:place:1304644,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/city-of-avondale-estates-ga-2026-08-26-august-26-2026-bomc-regular-meeting-and-w; owner title ""City of Avondale Estates""",Avondale Estates city,1,True
www.youtube.com,channel=@BaldwinParkCA,us:place:0603666,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/2023-02-06-baldwin-park-recreation-and-community-services-commission-02-06-2023; owner title ""Baldwin Park Council Meeting""",Baldwin Park city,1,True
www.youtube.com,channel=@BeaumontAbCaT4X,ca:csd:4811013,fallback,archive_study_2026-09-09,"3 solidly-identified archive page(s), e.g. /m/beaumont-regular-council-meeting-agenda-tuesday-2024-04-23-water-management-stra; owner title ""City of Beaumont, Alberta""",Beaumont,3,True
www.youtube.com,channel=@BedfordCountyCommissioners,us:county:42009,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/bedford-county-pa-welcome-to-bedford-county; owner title ""Bedford County Commissioners""",Bedford County,1,True
www.youtube.com,channel=@BelAireKS,us:place:2005337,fallback,archive_study_2026-09-09,"2 solidly-identified archive page(s), e.g. /m/city-of-bel-aire-kansas-meetings-city-council-meeting; owner title ""City of Bel Aire""",Bel Aire city,2,True
