input_set,jurisdiction,gov_name,gov_type,tenant_host,platform,evidence
archive,City of Evansville,City of Evansville,municipality,evansville.granicus.com,granicus,no state for 'City of Evansville'
archive,City of Everett,City of Everett,municipality,everett.granicus.com,granicus,no state for 'City of Everett'
archive,City of Farmington,City of Farmington,municipality,farmington.civicweb.net,youtube,no state for 'City of Farmington'
archive,City of Farmington,City of Farmington,municipality,farmington.civicweb.net,youtube,no state for 'City of Farmington'
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,fortworthisd.granicus.com,granicus,no state for 'Unknown Jurisdiction'
archive,Cook County Forest Preserve District,Cook County Forest Preserve District,county,fpdcc.granicus.com,granicus,no state for 'Cook County Forest Preserve District'
archive,Fremont,Fremont,other,fremont.granicus.com,granicus,no state for 'Fremont'
archive,City of Fremont,City of Fremont,municipality,fremontne.gov,youtube,no state for 'City of Fremont'
archive,City of Fullerton,City of Fullerton,municipality,fullerton.granicus.com,granicus,no state for 'City of Fullerton'
archive,Fulton County,Fulton County,county,fulton.granicus.com,granicus,no state for 'Fulton County'
archive,Town of Gilbert,Town of Gilbert,municipality,gilbert.granicus.com,granicus,no state for 'Town of Gilbert'
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,gpisd.granicus.com,granicus,no state for 'Unknown Jurisdiction'
archive,City of Greenville,City of Greenville,municipality,greenville.granicus.com,granicus,no state for 'City of Greenville'
archive,City of Greenville,City of Greenville,municipality,greenville.granicus.com,granicus,no state for 'City of Greenville'
ledger,City of Greenville,City of Greenville,municipality,greenville.granicus.com,,no state for 'City of Greenville'
archive,City of Gridley,City of Gridley,municipality,gridleyca.gov,youtube,no state for 'City of Gridley'
archive,City of Gulfport,City of Gulfport,municipality,gulfport.granicus.com,granicus,no state for 'City of Gulfport'
archive,City of Gulfport,City of Gulfport,municipality,gulfport.granicus.com,granicus,no state for 'City of Gulfport'
ledger,City of Gulfport,City of Gulfport,municipality,gulfport.granicus.com,,no state for 'City of Gulfport'
archive,City of Houston,City of Houston,municipality,harrishealthtx.new.swagit.com,swagit,no state for 'City of Houston'
archive,City of Hartford,City of Hartford,municipality,hartford.civicweb.net,youtube,no state for 'City of Hartford'
archive,City of Hartford,City of Hartford,municipality,hartford.civicweb.net,youtube,no state for 'City of Hartford'
archive,Holden,Holden,other,hctv.cablecast.tv,cablecast,no state for 'Holden'
archive,Holden,Holden,other,hctv.cablecast.tv,cablecast,no state for 'Holden'
archive,Holden,Holden,other,hctv.cablecast.tv,cablecast,no state for 'Holden'
ledger,Holden,Holden,other,hctv.cablecast.tv,,no state for 'Holden'
archive,The City of Hilliard,The City of Hilliard,other,hilliardohio.civicweb.net,youtube,no state for 'The City of Hilliard'
archive,"City of Hot Springs, Arkansas Government","City of Hot Springs, Arkansas Government",municipality,hotspringsar.gov,youtube,"no state for 'City of Hot Springs, Arkansas Government'"
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,houstonisd.granicus.com,granicus,no state for 'Unknown Jurisdiction'
archive,Howard County,Howard County,county,howardcounty.granicus.com,granicus,no state for 'Howard County'
archive,Howard County,Howard County,county,howardcounty.granicus.com,granicus,no state for 'Howard County'
ledger,Howard County,Howard County,county,howardcounty.granicus.com,,no state for 'Howard County'
archive,Howard County Council,Howard County Council,county,howardcounty.granicus.com,granicus,no state for 'Howard County Council'
archive,High Plains Underground Water Conservation District No. 1,High Plains Underground Water Conservation District No. 1,special_district,hpwd.granicus.com,granicus,no state for 'High Plains Underground Water Conservation District No. 1'
archive,City of Huntsville.Ordinance No.,City of Huntsville.Ordinance No,municipality,huntsvilleal.granicus.com,granicus,"'City of Huntsville.Ordinance No.' names no government on huntsvilleal.granicus.com, whose pages resolve to us:place:0137000, and its only state came from that tenant"
archive,Huron Township,Huron Township,township,huron-township.cablecast.tv,cablecast,no state for 'Huron Township'
ledger,Huron Township,Huron Township,township,huron-township.cablecast.tv,,no state for 'Huron Township'
archive,Cal-ICMA,Cal-ICMA,other,icma.granicus.com,granicus,no state for 'Cal-ICMA'
archive,IEUA,IEUA,other,ieua.granicus.com,granicus,no state for 'IEUA'
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,illinoistollway.granicus.com,granicus,no state for 'Unknown Jurisdiction'
archive,City of Portage,City of Portage,municipality,inportageparks.com,youtube,no state for 'City of Portage'
archive,City of Irvine,City of Irvine,municipality,irvine.granicus.com,granicus,no state for 'City of Irvine'
archive,Irvington,Irvington,other,irvington.granicus.com,granicus,no state for 'Irvington'
archive,Village of Irvington,Village of Irvington,municipality,irvington.granicus.com,granicus,no state for 'Village of Irvington'
ledger,Village of Irvington,Village of Irvington,municipality,irvington.granicus.com,,no state for 'Village of Irvington'
archive,Jurupa Area Recreation and Park District,Jurupa Area Recreation and Park District,special_district,jarpd.civicweb.net,youtube,no state for 'Jurupa Area Recreation and Park District'
archive,Kendall County,Kendall County,county,kendallcountytx.gov,youtube,no state for 'Kendall County'
archive,Municode Portal,Municode Portal,other,kingsport-tn.municodemeetings.com,youtube,"'Municode Portal' names no government on kingsport-tn.municodemeetings.com, whose pages resolve to us:place:4739560, and its only state came from that tenant"
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,kpb.granicus.com,granicus,not a government name: 'Unknown Jurisdiction'
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,lacanadaflintridge-ca.granicus.com,granicus,no state for 'Unknown Jurisdiction'
archive,La Center,La Center,other,lacenter.civicweb.net,youtube,no state for 'La Center'
archive,La Center,La Center,other,lacenter.civicweb.net,youtube,no state for 'La Center'
archive,La Center,La Center,other,lacenter.civicweb.net,youtube,no state for 'La Center'
ledger,La Center,La Center,other,lacenter.civicweb.net,,no state for 'La Center'
archive,County of Lake,County of Lake,county,lakecounty.granicus.com,granicus,no state for 'County of Lake'
archive,Lake County Illinois,Lake County Illinois,county,lakecounty.legistar.com,cablecast,no state for 'Lake County Illinois'
archive,City of Lake Forest,City of Lake Forest,municipality,lakeforest.primegov.com,youtube,no state for 'City of Lake Forest'
ledger,City of Lake Forest,City of Lake Forest,municipality,lakeforest.primegov.com,,no state for 'City of Lake Forest'
archive,"City of Lake Forest""","City of Lake Forest""",municipality,lakeforest.primegov.com,youtube,"no state for 'City of Lake Forest""'"
archive,City of Lancaster,City of Lancaster,municipality,lancaster.granicus.com,granicus,no state for 'City of Lancaster'
archive,La,La,other,laquinta.cablecast.tv,cablecast,"'La' names no government on laquinta.cablecast.tv, whose pages resolve to us:place:0640354, and its only state came from that tenant"
