tenant_host,jurisdiction,gov_id,gov_name,gov_type,tier,evidence,new_meeting_body,new_hub_slug,country,state,old_hub_slug,municipal_type_word,gov_classify_bucket
sc-northmyrtlebeach.civicplus.com,"City of North Myrtle Beach, SC",us:place:4551280,"North Myrtle Beach, SC",municipality,registry,us_places.csv North Myrtle Beach city,,north-myrtle-beach-sc,us,SC,north-myrtle-beach-sc,yes,city
sc-surfsidebeach.civicplus.com,Town of Surfside Beach,us:place:4570585,"Surfside Beach, SC",municipality,registry,us_places.csv Surfside Beach town,,surfside-beach-sc,us,SC,town-of-surfside-beach,yes,city
sd-vermillion.civicplus.com,"Vermillion, SD",us:place:4666700,"Vermillion (city), SD",municipality,registry,us_places.csv Vermillion city,,vermillion-city-sd,us,SD,vermillion-sd,no,city
tn-hendersonville.civicplus.com,"City of Hendersonville, TN",us:place:4733280,"Hendersonville, TN",municipality,registry,us_places.csv Hendersonville city,,hendersonville-tn,us,TN,hendersonville-tn,yes,city
tx-shenandoah.civicplus.com,"City of Shenandoah, TX",us:place:4867400,"Shenandoah, TX",municipality,registry,us_places.csv Shenandoah city,,shenandoah-tx,us,TX,shenandoah-tx,yes,city
ut-alpine.civicplus.com,Alpine,us:place:4900540,"Alpine, UT",municipality,registry,us_places.csv Alpine city (state from tenant_hints.csv ut-alpine.civicplus.com),,alpine-ut,us,UT,alpine,no,city
ut-ogden.civicplus.com,"Ogden, UT",us:place:4955980,"Ogden, UT",municipality,registry,us_places.csv Ogden city,,ogden-ut,us,UT,ogden-ut,no,city
ut-parowan.civicplus.com,"PAROWAN city, UT",us:place:4958510,"Parowan, UT",municipality,registry,us_places.csv Parowan city,,parowan-ut,us,UT,parowan-city-ut,no,city
ut-payson.civicplus.com,Payson,us:place:4958730,"Payson, UT",municipality,registry,us_places.csv Payson city (state from tenant_hints.csv ut-payson.civicplus.com),,payson-ut,us,UT,payson,no,city
ut-providence.civicplus.com,"Providence, UT",us:place:4962360,"Providence, UT",municipality,registry,us_places.csv Providence city,,providence-ut,us,UT,providence-ut,no,city
ut-provo.civicplus.com,"Provo, UT",us:place:4962470,"Provo, UT",municipality,registry,us_places.csv Provo city,,provo-ut,us,UT,provo-ut,no,city
ut-santaquin.civicplus.com,"Santaquin, UT",us:place:4967770,"Santaquin, UT",municipality,registry,us_places.csv Santaquin city,,santaquin-ut,us,UT,santaquin-ut,no,city
va-bedford.civicplus.com,"Town of Bedford, VA",us:place:5105544,"Bedford, VA",municipality,registry,us_places.csv Bedford town,,bedford-va,us,VA,town-of-bedford-va,yes,city
va-crewe.civicplus.com,"Crewe, VA",us:place:5120160,"Crewe, VA",municipality,registry,us_places.csv Crewe town,,crewe-va,us,VA,crewe-va,no,city
wa-buckley.civicplus.com,City of Buckley,us:place:5308570,"Buckley, WA",municipality,registry,us_places.csv Buckley city (state from tenant_hints.csv wa-buckley.civicplus.com),,buckley-wa,us,WA,buckley,yes,city
wa-westrichland.civicplus.com,"City of West Richland, WA",us:place:5377665,"West Richland, WA",municipality,registry,us_places.csv West Richland city,,west-richland-wa,us,WA,west-richland-wa,yes,city
wi-browndeer.civicplus.com,"Village of Brown Deer, WI",us:place:5510375,"Brown Deer, WI",municipality,registry,us_places.csv Brown Deer village,,brown-deer-wi,us,WI,village-of-brown-deer-wi,yes,city
wi-cottagegrove.civicplus.com,"Town of Cottage Grove, WI",us:cousub:5502517200,"Cottage Grove (town), WI",township,registry,us_cousubs.csv Cottage Grove town,,cottage-grove-town-wi,us,WI,town-of-cottage-grove-wi,yes,city
wi-cottagegrove.civicplus.com,"Village of Cottage Grove, WI",us:place:5517175,"Cottage Grove (village), WI",municipality,registry,us_places.csv Cottage Grove village,,cottage-grove-village-wi,us,WI,village-of-cottage-grove-wi,yes,city
wi-crossplains.civicplus.com,"Village of Cross Plains, WI",us:place:5517775,"Cross Plains (village), WI",municipality,registry,us_places.csv Cross Plains village,,cross-plains-village-wi,us,WI,village-of-cross-plains-wi,yes,city
wi-fredonia.civicplus.com,"Village of Fredonia, WI",us:place:5527550,"Fredonia (village), WI",municipality,registry,us_places.csv Fredonia village,,fredonia-village-wi,us,WI,village-of-fredonia-wi,yes,city
wi-juneau.civicplus.com,"Juneau, WI",us:place:5538675,"Juneau, WI",municipality,registry,us_places.csv Juneau city,,juneau-wi,us,WI,juneau-wi,no,city
wi-stoughton.civicplus.com,"Stoughton, WI",us:place:5577675,"Stoughton, WI",municipality,registry,us_places.csv Stoughton city,,stoughton-wi,us,WI,stoughton-wi,no,city
ab-slavelake.civicplus.com,"Town of Slave Lake, AB",ca:csd:4817029,"Slave Lake, AB",municipality,registry,ca_csd.csv Slave Lake,,slave-lake-ab,ca,AB,town-of-slave-lake-ab,yes,city
ar-maumelle.civicplus.com,"City of Maumelle, AR",us:place:0544600,"Maumelle, AR",municipality,registry,us_places.csv Maumelle city,,maumelle-ar,us,AR,maumelle-ar,yes,city
blueearthcountymn.gov,"Blue Earth County, MN",us:county:27013,"Blue Earth County, MN",county,registry,us_counties.csv Blue Earth County,,blue-earth-county-mn,us,MN,blue-earth-county-mn,no,county
bristolva.gov,"City of Bristol, VA",us:place:5109816,"Bristol, VA",municipality,registry,us_places.csv Bristol city,,bristol-va,us,VA,bristol-va,yes,city
brla.gov,"Baton Rouge, LA",us:place:2205000,"Baton Rouge, LA",municipality,registry,us_places.csv Baton Rouge city,,baton-rouge-la,us,LA,baton-rouge-la,no,city
brookingscountysd.gov,"Brookings County, SD",us:county:46011,"Brookings County, SD",county,registry,us_counties.csv Brookings County,,brookings-county-sd,us,SD,brookings-county-sd,no,county
ca-beverlyhills.civicplus.com,City of Beverly Hills,us:place:0606308,"Beverly Hills, CA",municipality,registry,us_places.csv Beverly Hills city (state from tenant_hints.csv ca-beverlyhills.civicplus.com),,beverly-hills-ca,us,CA,beverly-hills,yes,city
ca-ceres.civicplus.com,"Ceres, CA",us:place:0612524,"Ceres, CA",municipality,registry,us_places.csv Ceres city,,ceres-ca,us,CA,ceres-ca,no,city
ca-escalon.civicplus.com,"City of Escalon, CA",us:place:0622790,"Escalon, CA",municipality,registry,us_places.csv Escalon city,,escalon-ca,us,CA,escalon-ca,yes,city
ca-moraga.civicplus.com,"Town of Moraga, CA",us:place:0649187,"Moraga, CA",municipality,registry,us_places.csv Moraga town,,moraga-ca,us,CA,town-of-moraga-ca,yes,city
ca-ridgecrest.civicplus.com,City of Ridgecrest,us:place:0660704,"Ridgecrest, CA",municipality,registry,us_places.csv Ridgecrest city (state from tenant_hints.csv ca-ridgecrest.civicplus.com),,ridgecrest-ca,us,CA,ridgecrest,yes,city
ca-sanclemente.civicplus.com,"City of San Clemente, CA",us:place:0665084,"San Clemente, CA",municipality,registry,us_places.csv San Clemente city,,san-clemente-ca,us,CA,san-clemente-ca,yes,city
clatsopcounty.gov,"Clatsop County, OR",us:county:41007,"Clatsop County, OR",county,registry,us_counties.csv Clatsop County,,clatsop-county-or,us,OR,clatsop-county-or,no,county
co-tellercounty.civicplus.com,"Teller County, CO",us:county:08119,"Teller County, CO",county,registry,us_counties.csv Teller County,,teller-county-co,us,CO,teller-county-co,no,county
co-woodlandpark.civicplus.com,"Woodland Park, CO",us:place:0886090,"Woodland Park, CO",municipality,registry,us_places.csv Woodland Park city,,woodland-park-co,us,CO,woodland-park-co,no,city
eastgrandforks.gov,"City of East Grand Forks, MN",us:place:2717612,"East Grand Forks, MN",municipality,registry,us_places.csv East Grand Forks city,,east-grand-forks-mn,us,MN,east-grand-forks-mn,yes,city
everettwa.gov,City of Everett,us:place:5322640,"Everett, WA",municipality,registry,us_places.csv Everett city (state from tenant_hints.csv everettwa.gov),,everett-wa,us,WA,everett,yes,city
fl-jupiterinletcolony.civicplus.com,"Jupiter Inlet Colony, FL",us:place:1235900,"Jupiter Inlet Colony, FL",municipality,registry,us_places.csv Jupiter Inlet Colony town,,jupiter-inlet-colony-fl,us,FL,jupiter-inlet-colony-fl,no,city
fl-oakland.civicplus.com,"Town of Oakland, FL",us:place:1250525,"Oakland, FL",municipality,registry,us_places.csv Oakland town,,oakland-fl,us,FL,town-of-oakland-fl,yes,city
fruitheights.gov,"Fruit Heights, UT",us:place:4927490,"Fruit Heights, UT",municipality,registry,us_places.csv Fruit Heights city,,fruit-heights-ut,us,UT,fruit-heights-ut,no,city
hendersonky.gov,Henderson,us:place:2135866,"Henderson, KY",municipality,registry,us_places.csv Henderson city (state from tenant_hints.csv hendersonky.gov),,henderson-ky,us,KY,henderson,no,city
hopewellboroughnj.gov,"Hopewell Borough, VA",us:place:5138424,"Hopewell, VA",municipality,registry,us_places.csv Hopewell city,,hopewell-va,us,VA,hopewell-borough-va,no,city
id-pocatello.civicplus.com,"Pocatello, ID",us:place:1664090,"Pocatello, ID",municipality,registry,us_places.csv Pocatello city,,pocatello-id,us,ID,pocatello-id,no,city
il-skokie.civicplus.com,"Village of Skokie, IL",us:place:1770122,"Skokie, IL",municipality,registry,us_places.csv Skokie village,,skokie-il,us,IL,village-of-skokie-il,yes,city
in-portage.civicplus.com,City of Portage,us:place:1861092,"Portage (city), IN",municipality,registry,us_places.csv Portage city (state from tenant_hints.csv in-portage.civicplus.com),,portage-city-in,us,IN,portage,yes,city
in-zionsville.civicplus.com,"Town of Zionsville, IN",us:place:1886372,"Zionsville, IN",municipality,registry,us_places.csv Zionsville town,,zionsville-in,us,IN,town-of-zionsville-in,yes,city
ks-wichita.civicplus.com,"Wichita, KS",us:place:2079000,"Wichita, KS",municipality,registry,us_places.csv Wichita city,,wichita-ks,us,KS,wichita-ks,no,city
ks-wichita.civicplus.com,"City of Wichita, KS",us:place:2079000,"Wichita, KS",municipality,registry,us_places.csv Wichita city,,wichita-ks,us,KS,wichita-ks,yes,city
la-sulphur.civicplus.com,Sulphur,us:place:2273640,"Sulphur, LA",municipality,registry,us_places.csv Sulphur city (state from tenant_hints.csv la-sulphur.civicplus.com),,sulphur-la,us,LA,sulphur,no,city
libertycountyga.gov,"Liberty County, GA",us:county:13179,"Liberty County, GA",county,registry,us_counties.csv Liberty County,,liberty-county-ga,us,GA,liberty-county-ga,no,county
lindon.gov,"Lindon, UT",us:place:4945090,"Lindon, UT",municipality,registry,us_places.csv Lindon city,,lindon-ut,us,UT,lindon-ut,no,city
ma-easthampton.civicplus.com,"Easthampton, MA",us:place:2519365,"Easthampton, MA",municipality,registry,us_places.csv Easthampton city,,easthampton-ma,us,MA,easthampton-ma,no,city
md-chesapeakebeach.civicplus.com,"Town of Chesapeake Beach, MD",us:place:2415925,"Chesapeake Beach, MD",municipality,registry,us_places.csv Chesapeake Beach town,,chesapeake-beach-md,us,MD,town-of-chesapeake-beach-md,yes,city
md-sykesville.civicplus.com,"Sykesville, MD",us:place:2476550,"Sykesville, MD",municipality,registry,us_places.csv Sykesville town,,sykesville-md,us,MD,sykesville-md,no,city
md-takomapark.civicplus.com,"Takoma Park, MD",us:place:2476650,"Takoma Park, MD",municipality,registry,us_places.csv Takoma Park city,,takoma-park-md,us,MD,takoma-park-md,no,city
mi-sturgis.civicplus.com,"City of Sturgis, MI",us:place:2676960,"Sturgis (city), MI",municipality,registry,us_places.csv Sturgis city,,sturgis-city-mi,us,MI,sturgis-mi,yes,city
mn-cannonfalls.civicplus.com,"Cannon Falls, MN",us:place:2709730,"Cannon Falls (city), MN",municipality,registry,us_places.csv Cannon Falls city,,cannon-falls-city-mn,us,MN,cannon-falls-mn,no,city
mn-crookston.civicplus.com,City of Crookston,us:place:2713870,"Crookston (city), MN",municipality,registry,us_places.csv Crookston city (state from tenant_hints.csv mn-crookston.civicplus.com),,crookston-city-mn,us,MN,crookston,yes,city
mn-maplegrove.civicplus.com,"Maple Grove, MN",us:place:2740166,"Maple Grove (city), MN",municipality,registry,us_places.csv Maple Grove city,,maple-grove-city-mn,us,MN,maple-grove-mn,no,city
mo-fulton.civicplus.com,Fulton,us:place:2926182,"Fulton, MO",municipality,registry,us_places.csv Fulton city (state from tenant_hints.csv mo-fulton.civicplus.com),,fulton-mo,us,MO,fulton,no,city
mo-warrensburg.civicplus.com,"Warrensburg, MO",us:place:2977092,"Warrensburg, MO",municipality,registry,us_places.csv Warrensburg city,,warrensburg-mo,us,MO,warrensburg-mo,no,city
mt-whitefish.civicplus.com,"City of Whitefish, MT",us:place:3079825,"Whitefish, MT",municipality,registry,us_places.csv Whitefish city,,whitefish-mt,us,MT,whitefish-mt,yes,city
nc-blowingrock.civicplus.com,"Town of Blowing Rock, NC",us:place:3706500,"Blowing Rock, NC",municipality,registry,us_places.csv Blowing Rock town,,blowing-rock-nc,us,NC,town-of-blowing-rock-nc,yes,city
nc-millsriver.civicplus.com,"Town of Mills River, NC",us:place:3743260,"Mills River, NC",municipality,registry,us_places.csv Mills River town,,mills-river-nc,us,NC,town-of-mills-river-nc,yes,city
nj-princeton.civicplus.com,"Princeton, NJ",us:place:3460900,"Princeton, NJ",municipality,registry,us_places.csv Princeton,,princeton-nj,us,NJ,princeton-nj,no,city
nj-westfield.civicplus.com,Westfield,us:place:3479040,"Westfield, NJ",municipality,registry,us_places.csv Westfield town (state from tenant_hints.csv nj-westfield.civicplus.com),,westfield-nj,us,NJ,westfield,no,city
ny-amsterdam.civicplus.com,"City of Amsterdam, NY",us:place:3602066,"Amsterdam (city), NY",municipality,registry,us_places.csv Amsterdam city,,amsterdam-city-ny,us,NY,amsterdam-ny,yes,city
ny-patchogue.civicplus.com,"Village of Patchogue, NY",us:place:3656660,"Patchogue, NY",municipality,registry,us_places.csv Patchogue village,,patchogue-ny,us,NY,village-of-patchogue-ny,yes,city
ny-redhook.civicplus.com,"Red Hook, NY",us:place:3660895,"Red Hook (village), NY",municipality,registry,us_places.csv Red Hook village,,red-hook-village-ny,us,NY,red-hook-ny,no,city
ny-sagaponack.civicplus.com,"Sagaponack Village, NY",us:place:3664452,"Sagaponack, NY",municipality,registry,us_places.csv Sagaponack village,,sagaponack-ny,us,NY,sagaponack-village-ny,no,city
oh-fairviewpark.civicplus.com,"City of Fairview Park, OH",us:place:3926446,"Fairview Park, OH",municipality,registry,us_places.csv Fairview Park city,,fairview-park-oh,us,OH,fairview-park-oh,yes,city
oh-fostoria.civicplus.com,"Fostoria, OH",us:place:3928014,"Fostoria, OH",municipality,registry,us_places.csv Fostoria city,,fostoria-oh,us,OH,fostoria-oh,no,city
oh-louisville.civicplus.com,"Louisville, OH",us:place:3945094,"Louisville, OH",municipality,registry,us_places.csv Louisville city,,louisville-oh,us,OH,louisville-oh,no,city
oh-tallmadge.civicplus.com,"City of Tallmadge, OH",us:place:3976106,"Tallmadge, OH",municipality,registry,us_places.csv Tallmadge city,,tallmadge-oh,us,OH,tallmadge-oh,yes,city
or-lebanon.civicplus.com,Lebanon,us:place:4141650,"Lebanon, OR",municipality,registry,us_places.csv Lebanon city (state from tenant_hints.csv or-lebanon.civicplus.com),,lebanon-or,us,OR,lebanon,no,city
or-madras.civicplus.com,"City of Madras, OR",us:place:4145250,"Madras, OR",municipality,registry,us_places.csv Madras city,,madras-or,us,OR,madras-or,yes,city
or-millersburg.civicplus.com,City of Millersburg,us:place:4148300,"Millersburg, OR",municipality,registry,us_places.csv Millersburg city (state from tenant_hints.csv or-millersburg.civicplus.com),,millersburg-or,us,OR,millersburg,yes,city
or-yamhillcounty.civicplus.com,"Yamhill County, OR",us:county:41071,"Yamhill County, OR",county,registry,us_counties.csv Yamhill County,,yamhill-county-or,us,OR,yamhill-county-or,no,county
orangecountyva.gov,"Orange County, VA",us:county:51137,"Orange County, VA",county,registry,us_counties.csv Orange County,,orange-county-va,us,VA,orange-county-va,no,county
pa-easton.civicplus.com,City of Easton,us:place:4221648,"Easton, PA",municipality,registry,us_places.csv Easton city (state from tenant_hints.csv pa-easton.civicplus.com),,easton-pa,us,PA,easton,yes,city
pa-gettysburg.civicplus.com,"Gettysburg, PA",us:place:4228960,"Gettysburg, PA",municipality,registry,us_places.csv Gettysburg borough,,gettysburg-pa,us,PA,gettysburg-pa,no,city
pendercountync.gov,"Pender County, NC",us:county:37141,"Pender County, NC",county,registry,us_counties.csv Pender County,,pender-county-nc,us,NC,pender-county-nc,no,county
qac.gov,"Queen Anne's County, MD",us:county:24035,"Queen Anne's County, MD",county,registry,us_counties.csv Queen Anne's County,,queen-anne-s-county-md,us,MD,queen-anne-s-county-md,no,county
saratogasprings-ut.gov,City of Saratoga Springs,,City of Saratoga Springs,municipality,unresolved,no state for 'City of Saratoga Springs',,city-of-saratoga-springs,us,,saratoga-springs,yes,city
scottcountymn.gov,Scott County,us:county:27139,"Scott County, MN",county,registry,us_counties.csv Scott County (state from tenant_hints.csv scottcountymn.gov),,scott-county-mn,us,MN,scott-county,no,county
springhillks.gov,"City of Spring Hill, KS",us:place:2067625,"Spring Hill (city), KS",municipality,registry,us_places.csv Spring Hill city,,spring-hill-city-ks,us,KS,spring-hill-ks,yes,city
