input_set,gov_id,gov_name,gov_type,tier,jurisdiction,tenant_host,evidence
archive,rtr:us:xx:paradise,Town of Paradise,municipality,unverified,Town of Paradise,pub-paradise.escribemeetings.com,minted from 'Town of Paradise'
archive,rtr:us:xx:paradise,Town of Paradise,municipality,unverified,Town of Paradise,pub-paradise.escribemeetings.com,minted from 'Town of Paradise'
archive,rtr:us:xx:park-county,Park County,county,unverified,Park County,parkcounty.granicus.com,minted from 'Park County'
archive,rtr:us:xx:park-ridge,City of Park Ridge,municipality,unverified,City of Park Ridge,parkridge.granicus.com,minted from 'City of Park Ridge'
archive,rtr:us:xx:pasadena,City of Pasadena,municipality,pinned,City of Pasadena,pasadena.granicus.com,tenant_overrides.csv pasadena.granicus.com source=jurisdiction_overrides
archive,rtr:us:xx:pasadena,City of Pasadena,municipality,pinned,City of Pasadena,pasadena.granicus.com,tenant_overrides.csv pasadena.granicus.com source=jurisdiction_overrides
archive,rtr:us:xx:pasadena,City of Pasadena,municipality,pinned,City of Pasadena,pasadena.granicus.com,tenant_overrides.csv pasadena.granicus.com source=jurisdiction_overrides
archive,rtr:us:xx:pasadena,City of Pasadena,municipality,pinned,City of Pasadena,pasadena.granicus.com,tenant_overrides.csv pasadena.granicus.com source=jurisdiction_overrides
ledger,rtr:us:xx:pasadena,City of Pasadena,municipality,pinned,City of Pasadena,pasadena.granicus.com,tenant_overrides.csv pasadena.granicus.com source=jurisdiction_overrides
archive,rtr:us:xx:pasadena-community-college,Pasadena Community College,school_district,pinned,Pasadena Community College,pasadenaedu.granicus.com,tenant_overrides.csv pasadenaedu.granicus.com source=jurisdiction_overrides
archive,rtr:us:xx:pawtucket-city-council,Pawtucket City Council,other,unverified,Pawtucket City Council,clerkshq.com,minted from 'Pawtucket City Council'
archive,rtr:us:xx:pensacola,City of Pensacola,municipality,unverified,City of Pensacola,pensacola.granicus.com,minted from 'City of Pensacola'
archive,rtr:us:xx:pensacola,Pensacola,other,unverified,Pensacola,pensacolafl.portal.civicclerk.com,minted from 'Pensacola'
archive,rtr:us:xx:perth,the Town of Perth,other,unverified,the Town of Perth,perth.civicweb.net,minted from 'the Town of Perth'
archive,rtr:us:xx:peters-township,Peters Township,township,unverified,Peters Township,vimeo.com,minted from 'Peters Township'
archive,rtr:us:xx:phoenix,City of Phoenix,municipality,unverified,City of Phoenix,phoenix.legistar.com,minted from 'City of Phoenix'
archive,rtr:us:xx:phoenix,Phoenix,other,unverified,Phoenix,www.youtube.com,minted from 'Phoenix'
archive,rtr:us:xx:phoenix,Phoenix,other,unverified,Phoenix,www.youtube.com,minted from 'Phoenix'
archive,rtr:us:xx:phoenix,Phoenix,other,unverified,Phoenix,www.youtube.com,minted from 'Phoenix'
ledger,rtr:us:xx:phoenix,Phoenix,other,unverified,Phoenix,phoenix.legistar.com,minted from 'Phoenix'
archive,rtr:us:xx:pilot-point,City of Pilot Point,municipality,unverified,City of Pilot Point,cityofpilotpoint.granicus.com,minted from 'City of Pilot Point'
archive,rtr:us:xx:plainfield,Plainfield,other,unverified,Plainfield,plainfieldil.granicus.com,minted from 'Plainfield'
archive,rtr:us:xx:plantation,City of Plantation,municipality,unverified,City of Plantation,plantation.granicus.com,minted from 'City of Plantation'
