gov_id,gov_name,gov_type,country,state,place_geoid,county_fips,sgc_code,nces_lea_id,cog_id,aliases,source,evidence
ca:csd:4808008,Innisfail,municipality,ca,AB,,,4808008,,,"Innisfail, AB",ca_csd.csv,
ca:csd:4808011,Red Deer,municipality,ca,AB,,,4808011,,,"Red Deer, AB",ca_csd.csv,
ca:csd:4811002,Wetaskiwin,municipality,ca,AB,,,4811002,,,"Wetaskiwin, AB",ca_csd.csv,
ca:csd:4811013,Beaumont,municipality,ca,AB,,,4811013,,,"Beaumont, AB|City of Beaumont, AB",ca_csd.csv,
ca:csd:4811016,Leduc,municipality,ca,AB,,,4811016,,,"City of Leduc, AB",ca_csd.csv,
ca:csd:4811049,Spruce Grove,municipality,ca,AB,,,4811049,,,"City of Spruce Grove, AB|Spruce Grove, AB",ca_csd.csv,
ca:csd:4811056,Fort Saskatchewan,municipality,ca,AB,,,4811056,,,"City of Fort Saskatchewan, AB",ca_csd.csv,
ca:csd:4811059,Sturgeon County,municipality,ca,AB,,,4811059,,,Sturgeon County,ca:csd (spacing-insensitive match),
ca:csd:4811068,Morinville,municipality,ca,AB,,,4811068,,,"Town of Morinville, AB",ca_csd.csv,
ca:csd:4812009,Bonnyville,municipality,ca,AB,,,4812009,,,"Town of Bonnyville, AB",ca_csd.csv,
ca:csd:4817029,Slave Lake,municipality,ca,AB,,,4817029,,,"Town of Slave Lake, AB",ca_csd.csv,
ca:csd:4819012,Grande Prairie,municipality,ca,AB,,,4819012,,,"City of Grande Prairie, AB",ca_csd.csv,
ca:csd:5901028,Kimberley,municipality,ca,BC,,,5901028,,,"Kimberley, BC",ca_csd.csv,
ca:csd:5907005,Osoyoos,municipality,ca,BC,,,5907005,,,"Osoyoos, BC",ca_csd.csv,
ca:csd:5907041,Penticton,municipality,ca,BC,,,5907041,,,"City of Penticton, BC|Penticton, BC",ca_csd.csv,
ca:csd:5915004,Surrey,municipality,ca,BC,,,5915004,,,"Surrey, BC",ca_csd.csv,
ca:csd:5915011,Delta,municipality,ca,BC,,,5915011,,,"Delta|Delta, BC",ca_csd.csv,
ca:csd:5915015,Richmond,municipality,ca,BC,,,5915015,,,"Richmond, BC",ca_csd.csv,
ca:csd:5915025,Burnaby,municipality,ca,BC,,,5915025,,,"Burnaby, BC",ca_csd.csv,
ca:csd:5915029,New Westminster,municipality,ca,BC,,,5915029,,,"City of New Westminster, BC|New Westminster, BC",ca_csd.csv,
ca:csd:5915038,Anmore,municipality,ca,BC,,,5915038,,,"Anmore, BC",ca_csd.csv,
ca:csd:5915039,Port Coquitlam,municipality,ca,BC,,,5915039,,,"Port Coquitlam, BC",ca_csd.csv,
ca:csd:5915043,Port Moody,municipality,ca,BC,,,5915043,,,"City of Port Moody, BC|Port Moody, BC",ca_csd.csv,
ca:csd:5915062,Bowen Island,municipality,ca,BC,,,5915062,,,"Bowen Island, BC",ca_csd.csv,
ca:csd:5915070,Pitt Meadows,municipality,ca,BC,,,5915070,,,"City of Pitt Meadows, BC",ca_csd.csv,
ca:csd:5915075,Maple Ridge,municipality,ca,BC,,,5915075,,,"City of Maple Ridge, BC",ca_csd.csv,
ca:csd:5917015,Central Saanich,municipality,ca,BC,,,5917015,,,"Central Saanich, BC",ca_csd.csv,
ca:csd:5917030,Oak Bay,municipality,ca,BC,,,5917030,,,"Oak Bay, BC",ca_csd.csv,
ca:csd:5917034,Victoria,municipality,ca,BC,,,5917034,,,"City of Victoria|Victoria|Victoria, BC",ca_csd.csv,
ca:csd:5917041,Colwood,municipality,ca,BC,,,5917041,,,"City of Colwood, BC",ca_csd.csv,
ca:csd:5917042,Metchosin,municipality,ca,BC,,,5917042,,,"Metchosin, BC",ca_csd.csv,
ca:csd:5917052,Sooke,municipality,ca,BC,,,5917052,,,"Sooke, BC",ca_csd.csv,
ca:csd:5919008,North Cowichan,municipality,ca,BC,,,5919008,,,"North Cowichan, BC|Northcowichan",ca_csd.csv,
ca:csd:5919016,Lake Cowichan,municipality,ca,BC,,,5919016,,,"Town of Lake Cowichan, BC",ca_csd.csv,
ca:csd:5921007,Nanaimo,municipality,ca,BC,,,5921007,,,"City of Nanaimo, BC|Nanaimo, BC",ca_csd.csv,
ca:csd:5921018,Parksville,municipality,ca,BC,,,5921018,,,"Parksville, BC",ca_csd.csv,
ca:csd:5923025,Tofino,municipality,ca,BC,,,5923025,,,"Tofino, BC",ca_csd.csv,
ca:csd:5924034,Campbell River,municipality,ca,BC,,,5924034,,,"City of Campbell River, BC",ca_csd.csv,
ca:csd:5926010,Courtenay,municipality,ca,BC,,,5926010,,,"Courtenay, BC",ca_csd.csv,
ca:csd:5927008,Powell River,municipality,ca,BC,,,5927008,,,"Powell River, BC",ca_csd.csv,
ca:csd:5929011,Sechelt,municipality,ca,BC,,,5929011,,,"Sechelt, BC",ca_csd.csv,
ca:csd:5931006,Squamish,municipality,ca,BC,,,5931006,,,"Squamish, BC",ca_csd.csv,
ca:csd:5931020,Whistler,municipality,ca,BC,,,5931020,,,"Whistler, BC",ca_csd.csv,
ca:csd:5931026,Lillooet,municipality,ca,BC,,,5931026,,,"Lillooet, BC",ca_csd.csv,
ca:csd:5935010,Kelowna,municipality,ca,BC,,,5935010,,,"City of Kelowna, BC|Kelowna, BC",ca_csd.csv,
ca:csd:5935016,Lake Country,municipality,ca,BC,,,5935016,,,"Lake Country, BC",ca_csd.csv,
ca:csd:5935029,West Kelowna,municipality,ca,BC,,,5935029,,,"City of West Kelowna, BC|West Kelowna, BC",ca_csd.csv,
ca:csd:5939032,Salmon Arm,municipality,ca,BC,,,5939032,,,"City of Salmon Arm, BC",ca_csd.csv,
ca:csd:5941009,Williams Lake,municipality,ca,BC,,,5941009,,,"City of Williams Lake, BC",ca_csd.csv,
ca:csd:5941013,Quesnel,municipality,ca,BC,,,5941013,,,"Quesnel, BC",ca_csd.csv,
ca:csd:5953023,Prince George,municipality,ca,BC,,,5953023,,,"Prince George, BC",ca_csd.csv,
ca:csd:5953033,Mackenzie,municipality,ca,BC,,,5953033,,,"Mackenzie|Mackenzie, BC",ca_csd.csv,
ca:csd:5955003,Tumbler Ridge,municipality,ca,BC,,,5955003,,,"Tumbler Ridge, BC",ca_csd.csv,
ca:csd:5955034,Fort St. John,municipality,ca,BC,,,5955034,,,"Fort St. John, BC",ca_csd.csv,
ca:csd:6106023,Yellowknife,municipality,ca,NT,,,6106023,,,"Yellowknife, NT",ca_csd.csv,
rtr:ca:ab:city-of-leduc,City of Leduc,municipality,ca,AB,,,,,,"City of Leduc, AB",minted,no national table covers this government
rtr:ca:ab:city-of-lethbridge,City of Lethbridge,municipality,ca,AB,,,,,,"City of Lethbridge, AB",minted,no national table covers this government
rtr:ca:ab:cofs,Cofs,other,ca,AB,,,,,,Cofs,minted,no national table covers this government
rtr:ca:ab:kneehill-county,Kneehill County,county,ca,AB,,,,,,Kneehill County,minted,no national table covers this government
rtr:ca:ab:leduc,City of Leduc,municipality,ca,AB,,,,,,"City of Leduc, AB",minted,no national table covers this government
rtr:ca:ab:lethbridge,Lethbridge,other,ca,AB,,,,,,"City of Lethbridge, AB|Lethbridge, AB",minted,no national table covers this government
rtr:ca:ab:llbc,Llbc,other,ca,AB,,,,,,Llbc,minted,no national table covers this government
rtr:ca:ab:red-deer,Red Deer,other,ca,AB,,,,,,"Red Deer, AB",minted,no national table covers this government
rtr:ca:ab:sturgeon-county,Sturgeon County,county,ca,AB,,,,,,Sturgeon County,minted,no national table covers this government
rtr:ca:ab:town-of-vulcan,Town of Vulcan,municipality,ca,AB,,,,,,"Town of Vulcan, AB",minted,no national table covers this government
rtr:ca:ab:vulcan,Town of Vulcan,municipality,ca,AB,,,,,,"Town of Vulcan, AB",minted,no national table covers this government
rtr:ca:bc:city-of-port-moody,City of Port Moody,special_district,ca,BC,,,,,,"City of Port Moody, BC",minted,no national table covers this government
rtr:ca:bc:northcowichan,Northcowichan,other,ca,BC,,,,,,Northcowichan,minted,no national table covers this government
rtr:ca:bc:port-coquitlam,Port Coquitlam,special_district,ca,BC,,,,,,"Port Coquitlam, BC",minted,no national table covers this government
rtr:ca:bc:port-moody,Port Moody,special_district,ca,BC,,,,,,"City of Port Moody, BC|Port Moody, BC",minted,no national table covers this government
rtr:ca:bc:regional-district-of-central-okanagan,Regional District of Central Okanagan,special_district,ca,BC,,,,,,"Regional District of Central Okanagan, BC",minted,no national table covers this government
rtr:ca:bc:west-kelowna-council-chambers,West Kelowna Council Chambers,other,ca,BC,,,,,,West Kelowna Council Chambers,minted,no national table covers this government
rtr:ca:nl:stjohns,Stjohns,other,ca,NL,,,,,,Stjohns,minted,no national table covers this government
