geoid,name,state,level
0408170,Sunnyside Unified District,AZ,unified
0408230,Superior Unified School District,AZ,unified
0408280,Tanque Verde Unified District,AZ,unified
0408310,Tempe School District,AZ,elementary
0408340,Tempe Union High School District,AZ,secondary
0408410,Thatcher Unified District,AZ,unified
0408430,Paloma School District,AZ,elementary
0408460,Hillside Elementary District,AZ,elementary
0408490,Tolleson Elementary District,AZ,elementary
0408520,Tolleson Union High School District,AZ,secondary
0408550,Toltec Elementary District,AZ,elementary
0408600,Tombstone Unified District,AZ,unified
0408640,Topock Elementary District,AZ,elementary
0408680,Tuba City Unified District,AZ,unified
0408800,Tucson Unified District,AZ,unified
0408820,Union Elementary District,AZ,elementary
0408850,Vail Unified District,AZ,unified
0408880,Valentine Elementary District,AZ,elementary
0408910,Valley Union High School District,AZ,secondary
0409030,Walnut Grove Elementary District,AZ,elementary
0409060,Washington Elementary District,AZ,elementary
0409090,Wellton Elementary District,AZ,elementary
0409120,Wenden Elementary District,AZ,elementary
0409160,Whiteriver Unified District,AZ,unified
0409190,Wickenburg Unified District,AZ,unified
0409250,Willcox Unified District,AZ,unified
0409310,Williams Unified District,AZ,unified
0409360,Williamson Valley Elementary School District,AZ,elementary
0409390,Wilson Elementary District,AZ,elementary
0409430,Window Rock Unified District,AZ,unified
0409460,Winslow Unified District,AZ,unified
0409510,Yarnell Elementary District,AZ,elementary
0409540,Young Elementary School District,AZ,elementary
0409570,Yucca Elementary District,AZ,elementary
0409600,Yuma Elementary District,AZ,elementary
0409630,Yuma Union High School District,AZ,secondary
0409733,Sedona-Oak Creek Joint Unified District,AZ,unified
0499997,School District Not Defined,AZ,unified
0500001,DeWitt School District,AR,unified
0500006,Warren School District,AR,unified
0500009,Corning Public Schools,AR,unified
0500012,Riverside School District,AR,unified
0500015,Sheridan School District,AR,unified
0500016,Marmaduke School District,AR,unified
0500017,Paragould School District,AR,unified
0500019,Batesville School District,AR,unified
0500020,Midland School District,AR,unified
0500021,Izard Cty Consolidated Schools,AR,unified
0500023,Newport School District,AR,unified
0500026,Pine Bluff School District,AR,unified
0500028,Star City School District,AR,unified
0500029,Gosnell School District,AR,unified
0500030,Nevada School District,AR,unified
0500032,Bearden School District,AR,unified
0500041,Western Yell County School District,AR,unified
0500042,Hamburg School District,AR,unified
0500043,Mountain Home School District,AR,unified
0500044,Magnolia School District,AR,unified
0500045,Rivercrest School District,AR,unified
0500046,Manila School District,AR,unified
0500047,Trumann Schools,AR,unified
0500048,East Poinsett County School District,AR,unified
0500049,De Queen School District,AR,unified
0500051,Palestine-Wheatley School District,AR,unified
0500065,Lafayette County School District,AR,unified
0500067,Cleveland County School District,AR,unified
0500068,Emerson-Taylor-Bradley School District,AR,unified
0500070,Cedar Ridge School District,AR,unified
0500071,Hillcrest School District,AR,unified
0500072,Deer/Mount Judea School District,AR,unified
0500073,Ouachita River School District,AR,unified
0500076,Ozark Mountain School District,AR,unified
0500079,Two Rivers School District,AR,unified
0500082,Lawrence County School District,AR,unified
0500405,Cossatot River School District,AR,unified
0500419,Jacksonville North Pulaski School District,AR,unified
0502250,Alma School District,AR,unified
0502280,Alpena School District,AR,unified
0502430,Arkadelphia School District,AR,unified
0502550,Armorel School District,AR,unified
0502580,Ashdown School District,AR,unified
0502610,Atkins Public Schools,AR,unified
0502670,Augusta School District,AR,unified
0502700,Bald Knob School District,AR,unified
0502730,Barton-Lexa School District,AR,unified
0502790,Bauxite School District,AR,unified
0502820,Bay School District,AR,unified
0502880,Beebe School District,AR,unified
0502960,Benton School District,AR,unified
0503030,Pea Ridge School District,AR,unified
0503060,Bentonville Public Schools,AR,unified
0503090,Bergman School District,AR,unified
0503150,Berryville Public Schools,AR,unified
0503240,Bismarck Public Schools,AR,unified
0503300,Blevins School District,AR,unified
0503320,Blytheville School District,AR,unified
0503420,Lead Hill School District,AR,unified
0503450,Booneville School District,AR,unified
0503480,Bradford School District,AR,unified
0503630,Brinkley School District,AR,unified
0503640,Brookland School District,AR,unified
0503690,Bryant Public Schools,AR,unified
0503710,Buffalo Island Central School District,AR,unified
0503750,Cabot Public Schools,AR,unified
0503770,Caddo Hills School District,AR,unified
0503840,Calico Rock School District,AR,unified
0503960,Carlisle School District,AR,unified
0504020,Westside Consolidated School District,AR,unified
0504050,Cave City School District,AR,unified
0504080,Cedarville School District,AR,unified
0504110,Genoa Central School District,AR,unified
0504170,White County Central School District,AR,unified
0504200,Charleston School District,AR,unified
0504350,Clarendon School District,AR,unified
0504370,Rector School District,AR,unified
0504380,Clarksville School District,AR,unified
0504410,Clinton School District,AR,unified
0504560,Concord Public Schools,AR,unified
0504590,Conway Public Schools,AR,unified
0504680,Cotter School District,AR,unified
0504740,County Line School District,AR,unified
0504800,Crossett School District,AR,unified
0504860,Cutter-Morning Star School District,AR,unified
0504890,Danville School District,AR,unified
0504930,Dardanelle Public Schools,AR,unified
0504980,Decatur School District,AR,unified
0505170,Dermott School District,AR,unified
0505190,Des Arc Public Schools,AR,unified
0505340,Dierks School District,AR,unified
0505430,Dover School District,AR,unified
0505470,Drew Central School District,AR,unified
0505500,Dumas School District,AR,unified
0505550,Earle School District,AR,unified
0505580,East End School District,AR,unified
0505680,El Dorado School District,AR,unified
0505760,Elkins School District,AR,unified
0505850,England School District,AR,unified
0505970,Eureka Springs School District,AR,unified
0506060,Camden Fairview School District,AR,unified
0506090,Farmington School District,AR,unified
0506120,Fayetteville School District,AR,unified
0506150,Flippin School District,AR,unified
0506210,Fordyce School District,AR,unified
0506240,Foreman School District,AR,unified
0506270,Forrest City School District,AR,unified
0506330,Fort Smith Public Schools,AR,unified
0506360,Fouke School District,AR,unified
0506420,Fountain Lake School District,AR,unified
0506540,Gentry Public Schools,AR,unified
0506630,Glen Rose School District,AR,unified
0506690,Centerpoint School District,AR,unified
0506840,Gravette School District,AR,unified
0506870,Green Forest School District,AR,unified
0506900,Greenbrier School District,AR,unified
