tenant_host,state,source,evidence
brightonco.granicus.com,CO,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Brighton'"
brisbaneca.portal.civicclerk.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
bristol-in.municodemeetings.com,IN,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
bristol-ri.municodemeetings.com,RI,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
bristolva.gov,VA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
brla.gov,LA,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Baton Rouge, LA'"
brockville.civicweb.net,ON,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
brokenarrow.granicus.com,OK,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
brookhavencityga.iqm2.com,GA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
brookhavenny.portal.civicclerk.com,NY,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
brookingscountysd.gov,SD,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
broomfield.granicus.com,CO,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
broomfieldco.cablecast.tv,CO,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
broward.granicus.com,FL,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Broward County, FL'"
browardschools.granicus.com,FL,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Broward County Public Schools, FL'"
brownsburgin.new.swagit.com,IN,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
brunswick-md.granicus.com,MD,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
brunswickconc.portal.civicclerk.com,NC,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
buckscopa.portal.civicclerk.com,PA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
bucoks.granicus.com,KS,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
buda-tx.granicus.com,TX,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'City of Buda, TX'"
buenapark.cablecast.tv,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
buffalogroveil.portal.civicclerk.com,IL,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
buffalony.iqm2.com,NY,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
bullheadcity.granicus.com,AZ,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Bullhead City, AZ'"
burbank.granicus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
burgawnc.portal.civicclerk.com,NC,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
burlesontx.new.swagit.com,TX,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
burlingameca.granicus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
burlingtonvt.portal.civicclerk.com,VT,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
burrillville.granicus.com,RI,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
butlercountyoh.iqm2.com,OH,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
buttecoca.portal.civicclerk.com,CA,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Butte County, CA'"
buttecounty.granicus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
ca-avenal.civicplus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
ca-beverlyhills.civicplus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
ca-ceres.civicplus.com,CA,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Ceres, CA'"
ca-clearlake.civicplus.com,CA,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Clearlake, CA'"
ca-escalon.civicplus.com,CA,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Escalon, CA'"
ca-farmersville.civicplus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
ca-inglewood.civicplus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
ca-lahabraheights.civicplus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
ca-losalamitos.civicplus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
ca-moraga.civicplus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
ca-ridgecrest.civicplus.com,CA,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Ridgecrest, CA'"
ca-riverbank.civicplus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
ca-sanclemente.civicplus.com,CA,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'San Clemente, CA'"
ca-ventura.civicplus.com,CA,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Ventura, CA'"
ca-willits.civicplus.com,CA,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Willits, CA'"
cabq.granicus.com,NM,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'City of Albuquerque, NM'"
calaverascountyca.iqm2.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
caldwellcountytx.new.swagit.com,TX,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
californiacity.granicus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
calistoga.civicweb.net,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
calumetcounty.civicweb.net,WI,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
camarillo.primegov.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
cambridgema.granicus.com,MA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
cambridgema.iqm2.com,MA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
cambridgema.primegov.com,MA,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Cambridge, MA'"
camdencountyga.gov,GA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
cantonga.granicus.com,GA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
capaz.portal.civicclerk.com,AZ,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
capitalcityconnection.cablecast.tv,AL,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
capmetrotx.granicus.com,TX,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Capital Metropolitan Transportation Authority, TX'"
carbondaleil.new.swagit.com,IL,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
carlsbadca.new.swagit.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
carmelin.new.swagit.com,IN,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Carmel, IN'"
carolinabeach-nc.municodemeetings.com,NC,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
carpinteria.granicus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
carrboro.granicus.com,NC,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
carrollisdtx.new.swagit.com,TX,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
carrolltontx.new.swagit.com,TX,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
carsonca.cablecast.tv,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
carteretcountync.gov,NC,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
