zcta,place_name,state,area_land_part
03246,Laconia city,NH,51380529
03301,Concord city,NH,127457716
03303,Concord city,NH,38130621
03431,Keene city,NH,96068853
03570,Berlin city,NH,158893882
03743,Claremont city,NH,111766136
03766,Lebanon city,NH,82827709
03784,Lebanon city,NH,21561648
03801,Portsmouth city,NH,40560703
03820,Dover city,NH,69151944
03820,Somersworth city,NH,7857
03823,Dover city,NH,74804
03839,Rochester city,NH,20380365
03867,Rochester city,NH,73568700
03868,Rochester city,NH,22654430
03878,Somersworth city,NH,25377457
04005,Biddeford city,ME,77756489
04006,Biddeford city,ME,163619
04019,Portland city,ME,2155559
04072,Saco city,ME,99933834
04073,Sanford city,ME,97752525
04083,Sanford city,ME,26023805
04092,Westbrook city,ME,44519435
04101,Portland city,ME,5256547
04102,Portland city,ME,15521021
04103,Portland city,ME,26498942
04106,South Portland city,ME,31239959
04107,South Portland city,ME,15749
04108,Portland city,ME,3149321
04109,Portland city,ME,3214607
04210,Auburn city,ME,153688541
04240,Lewiston city,ME,88437058
04330,Augusta city,ME,142830769
04345,Gardiner city,ME,38689425
04347,Hallowell city,ME,15187230
04359,Gardiner city,ME,1909050
04401,Bangor city,ME,88567956
04412,Brewer city,ME,39466907
04444,Bangor city,ME,163402
04468,Old Town city,ME,99907707
04489,Old Town city,ME,645042
04530,Bath city,ME,23617609
04605,Ellsworth city,ME,205353140
04619,Calais city,ME,88895273
04631,Eastport city,ME,9414047
04736,Caribou city,ME,205362485
04769,Presque Isle city,ME,196262928
04841,Rockland city,ME,33259746
04901,Waterville city,ME,35048863
04915,Belfast city,ME,88164075
05051,Newbury village,VT,12858082
05081,Wells River village,VT,4895006
05091,Woodstock village,VT,3056476
05101,Bellows Falls village,VT,3545881
05101,Saxtons River village,VT,305261
05149,Ludlow village,VT,3465801
05151,Perkinsville village,VT,472250
05154,Saxtons River village,VT,910712
05158,Westminster village,VT,3519242
05201,Old Bennington village,VT,952064
05254,Manchester village,VT,6497258
05255,Manchester village,VT,2661965
05257,North Bennington village,VT,4850005
05342,Jacksonville village,VT,2948448
05345,Newfane village,VT,456112
05346,Westminster village,VT,12372
05401,Burlington city,VT,15768441
05401,South Burlington city,VT,37959
05403,Burlington city,VT,19156
05403,South Burlington city,VT,42389913
05404,Winooski city,VT,3617910
05405,Burlington city,VT,511281
05408,Burlington city,VT,10405967
05408,South Burlington city,VT,51945
05440,Alburgh village,VT,1651646
05444,Cambridge village,VT,3196614
05446,Winooski city,VT,17221
05450,Enosburg Falls village,VT,9180105
05452,Essex Junction village,VT,11824539
05464,Cambridge village,VT,7072
05464,Jeffersonville village,VT,2010008
05478,St. Albans city,VT,5066084
05482,South Burlington city,VT,144739
05488,Swanton village,VT,1972465
05491,Vergennes city,VT,6359939
05602,Montpelier city,VT,26049011
05641,Barre city,VT,10321130
05655,Hyde Park village,VT,2969082
05656,Johnson village,VT,3022633
05658,Marshfield village,VT,668588
05661,Morrisville village,VT,5064862
05701,Rutland city,VT,19550880
05764,Poultney village,VT,1628257
05820,Albany village,VT,3992913
05822,Barton village,VT,2930186
05829,Derby Center village,VT,3492201
05829,Derby Line village,VT,98309
05830,Derby Line village,VT,1782213
05851,Lyndonville village,VT,1833852
05855,Derby Center village,VT,115415
05855,Newport city,VT,15178047
05859,North Troy village,VT,4853206
05860,Orleans village,VT,2288704
05871,West Burke village,VT,1228300
06010,Bristol city,CT,68344587
06032,New Britain city,CT,58803
06051,New Britain city,CT,10619150
06052,New Britain city,CT,6677415
06053,New Britain city,CT,17338917
06062,Bristol city,CT,47572
06095,Hartford city,CT,10255
06103,Hartford city,CT,1502379
06105,Hartford city,CT,5378525
06106,Hartford city,CT,10790608
06110,Hartford city,CT,20544
06112,Hartford city,CT,7690024
06114,Hartford city,CT,10475561
06120,Hartford city,CT,9144751
06239,Danielson borough,CT,2832746
06320,New London city,CT,14558137
06340,Groton Long Point borough,CT,1106552
06340,Groton city,CT,7985936
06351,Jewett City borough,CT,1825133
06360,Norwich city,CT,69456031
06378,Stonington borough,CT,883234
06380,Norwich city,CT,2495571
06389,Norwich city,CT,728583
06401,Ansonia city,CT,15579067
06401,Derby city,CT,28236
06418,Ansonia city,CT,9541
06418,Derby city,CT,13065888
06450,Meriden city,CT,36057402
06451,Meriden city,CT,25409550
06457,Middletown city,CT,105374323
06459,Middletown city,CT,861529
06460,Woodmont borough,CT,711135
06470,Newtown borough,CT,5967206
06475,Fenwick borough,CT,1010140
06484,Shelton city,CT,79334981
06510,New Haven city,CT,697305
06511,New Haven city,CT,15029782
06512,New Haven city,CT,6001946
06513,New Haven city,CT,10275913
06514,New Haven city,CT,13849
06515,New Haven city,CT,11805824
06516,West Haven city,CT,27842630
06519,New Haven city,CT,4582455
06604,Bridgeport city,CT,8171529
06605,Bridgeport city,CT,5920845
06606,Bridgeport city,CT,13681176
06607,Bridgeport city,CT,2975776
06608,Bridgeport city,CT,2662296
