gov_id,unit_name,web_address
us:place:3455950,"Paramus borough, NJ",paramusborough.gov
us:place:3461530,"Rahway city, NJ",rahwaynj.gov
us:place:3477270,"Washington borough, NJ",washingtonboro-nj.gov
us:place:3480270,"Westwood borough, NJ",westwoodnj.gov
us:place:3503820,"Anthony city, NM",cityofanthonynm.gov
us:place:3505220,"Artesia city, NM",artesianm.gov
us:place:3506480,"Belen city, NM",belen-nm.gov
us:place:3528460,"Gallup city, NM",gallupnm.gov
us:place:3543370,"Los Lunas village, NM",loslunasnm.gov
us:place:3564930,"Roswell city, NM",roswell-nm.gov
us:place:3576200,"Taos town, NM",taosnm.gov
us:place:3602044,"Amityville village, NY",amityville.gov
us:place:3603408,"Babylon village, NY",townofbabylonny.gov
us:place:3608103,"Briarcliff Manor village, NY",briarcliffmanor.gov
us:place:3608532,"Bronxville village, NY",villageofbronxville.gov
us:place:3616749,"Cohoes city, NY",cohoes-ny.gov
us:place:3624295,"Elmsford village, NY",elmsford.gov
us:place:3628640,"Geneva city, NY",cityofgenevany.gov
us:place:3629333,"Glens Falls city, NY",cityofglensfallsny.gov
us:place:3631643,"Hamburg village, NY",townofhamburgny.gov
us:place:3632710,"Hastings-on-Hudson village, NY",hohny.gov
us:place:3633139,"Hempstead village, NY",hempsteadny.gov
us:place:3635694,"Horseheads village, NY",townofhorseheads.gov
us:place:3644831,"Mamaroneck village, NY",townofmamaroneckny.gov
us:place:3646019,"Massena village, NY",massenany.gov
us:place:3647042,"Middletown city, NY",middletownny.gov
us:place:3647636,"Mineola village, NY",mineola-ny.gov
us:place:3657023,"Pelham Manor village, NY",pelhammanor.gov
us:place:3659641,"Poughkeepsie city, NY",cityofpoughkeepsie.gov
us:place:3665255,"Saratoga Springs city, NY",saratogaspringsny.gov
us:place:3667638,"Sleepy Hollow village, NY",sleepyhollowny.gov
us:place:3675583,"Tuckahoe village, NY",tuckahoe.gov
us:place:3684000,"Yonkers city, NY",yonkersny.gov
us:place:3701520,"Apex town, NC",apexnc.gov
us:place:3701720,"Archdale city, NC",archdale-nc.gov
us:place:3709060,"Burlington city, NC",burlingtonnc.gov
us:place:3714340,"Conover city, NC",conovernc.gov
us:place:3738320,"Lincolnton city, NC",lincolntonnc.gov
us:place:3739700,"Lumberton city, NC",lumbertonnc.gov
us:place:3757500,"Rocky Mount city, NC",rockymountnc.gov
us:place:3759540,"Sawmills town, NC",townofsawmillsnc.gov
us:place:3761860,"Siler City town, NC",silercity.gov
us:place:3840580,"Jamestown city, ND",jamestownnd.gov
us:place:3907972,"Bowling Green city, OH",bgohio.gov
us:place:3909246,"Brooklyn city, OH",brooklynohio.gov
us:place:3913190,"Centerville city, OH",centervilleohio.gov
us:place:3913554,"Chardon city, OH",cityofchardon.gov
us:place:3916014,"Cleveland Heights city, OH",clevelandheights.gov
us:place:3921000,"Dayton city, OH",daytonohio.gov
us:place:3921308,"Defiance city, OH",cityofdefiance.gov
us:place:3929106,"Gahanna city, OH",gahanna.gov
us:place:3931304,"Grandview Heights city, OH",grandviewheights.gov
us:place:3935252,"Highland Heights city, OH",highlandhtsohio.gov
us:place:3948482,"Mayfield Heights city, OH",mayfieldheightsohio.gov
us:place:3955216,"New Philadelphia city, OH",newphiladelphiaoh.gov
us:place:3957190,"Northwood city, OH",northwoodoh.gov
us:place:3974076,"Springboro city, OH",cityofspringboro.gov
us:place:3976876,"Tipp City city, OH",tippcityohio.gov
us:place:3977322,"Trenton city, OH",trentonoh.gov
us:place:3986730,"Wyoming city, OH",wyomingohio.gov
us:place:4006400,"Bixby city, OK",bixbyok.gov
us:place:4006600,"Blackwell city, OK",blackwellok.gov
us:place:4013950,"Chickasha city, OK",chickasha.gov
us:place:4017800,"Coweta city, OK",cityofcoweta-ok.gov
us:place:4021900,"Duncan city, OK",duncanok.gov
us:place:4023700,"El Reno city, OK",elrenook.gov
us:place:4031600,"Grove city, OK",cityofgroveok.gov
us:place:4048000,"Miami city, OK",miamiok.gov
us:place:4058700,"Piedmont city, OK",piedmont-ok.gov
us:place:4059850,"Ponca City city, OK",poncacityok.gov
us:place:4061150,"Purcell city, OK",purcellok.gov
us:place:4065300,"Sand Springs city, OK",sandspringsok.gov
us:place:4075450,"Tuttle city, OK",tuttleok.gov
us:place:4082150,"Woodward city, OK",cityofwoodward-ok.gov
us:place:4112400,"Central Point city, OR",centralpointoregon.gov
us:place:4123850,"Eugene city, OR",eugene-or.gov
us:place:4124250,"Fairview city, OR",fairvieworegon.gov
us:place:4130550,"Grants Pass city, OR",grantspassoregon.gov
us:place:4164600,"St. Helens city, OR",sthelensoregon.gov
us:place:4177050,"Veneta city, OR",venetaoregon.gov
us:place:4183750,"Woodburn city, OR",woodburn-or.gov
us:place:4223584,"Emmaus borough, PA",emmauspa.gov
us:place:4246256,"McKeesport city, PA",mckeesport-pa.gov
us:place:4283512,"West Mifflin borough, PA",westmifflin.gov
us:place:4513330,"Charleston city, SC",charleston-sc.gov
us:place:4528060,"Gaffney city, SC",cityofgaffney-sc.gov
us:place:4539310,"Lake City city, SC",lakecitysc.gov
us:place:4570270,"Summerville town, SC",summervillesc.gov
us:place:4627260,"Harrisburg city, SD",harrisburgsd.gov
us:place:4631060,"Huron city, SD",huronsd.gov
us:place:4700540,"Alcoa city, TN",cityofalcoa-tn.gov
us:place:4728540,"Gallatin city, TN",gallatintn.gov
us:place:4741200,"La Vergne city, TN",lavergnetn.gov
us:place:4741340,"Lawrenceburg city, TN",lawrenceburgtn.gov
us:place:4751560,"Murfreesboro city, TN",murfreesborotn.gov
us:place:4758080,"Pigeon Forge city, TN",cityofpigeonforgetn.gov
us:place:4761960,"Red Bank city, TN",redbanktn.gov
us:place:4780200,"White House city, TN",whitehousetn.gov
us:place:4802260,"Alvarado city, TX",cityofalvarado.org
us:place:4803600,"Aransas Pass city, TX",aptx.gov
us:place:4804504,"Athens city, TX",athenstx.gov
us:place:4804600,"Aubrey city, TX",aubreytx.gov
us:place:4810780,"Brownwood city, TX",brownwoodtexas.gov
us:place:4812532,"Canyon city, TX",canyontx.gov
us:place:4816624,"Copperas Cove city, TX",copperascovetx.gov
us:place:4821892,"Eagle Pass city, TX",eaglepasstx.gov
us:place:4831592,"Gun Barrel City city, TX",gunbarrelcity.gov
us:place:4833320,"Hereford city, TX",herefordtexas.gov
us:place:4836092,"Iowa Colony village, TX",iowacolonytx.gov
