# Long tier-3 meetings (>90 min) swapped out of the queue for a shorter meeting from the same government; re-queue later for depth.
# url<TAB>source_url<TAB>gov_id<TAB>jurisdiction<TAB>duration<TAB>title -- gov_id blank when the identity ladder declined; probe rows stay in tier3_auto_transcription_queue_probe.csv.
https://saltlakecounty.portal.civicclerk.com/event/38/media		us:county:49035	Salt Lake County, UT	5:06:50	County Council Meeting
https://sandyspringsga.portal.civicclerk.com/event/1864/media		us:place:1368516	Sandy Springs, GA	2:17:02	City Council Meeting
https://sanjuancowa.portal.civicclerk.com/event/4015/media		us:county:53055	San Juan County, WA	1:54:52	Council Retreat video Part 2
https://santarosacofl.portal.civicclerk.com/event/1247/media		us:county:12113	Santa Rosa County, FL	2:11:27	Regular Meeting
https://saratogaspringsny.new.swagit.com/videos/389959		us:place:3665255	Saratoga Springs, NY	2:06:41	Jun 02, 2026 City Council
https://anacorteswa.portal.civicclerk.com/event/1452/media		us:place:5301990	Anacortes, WA	2:15:39	City Council Meeting
https://anaheim.granicus.com/MediaPlayer.php?view_id=2&clip_id=3665				8:26:52	
https://annapolismd.granicus.com/MediaPlayer.php?view_id=1&clip_id=1597		us:place:2401600	Annapolis, MD	1:58:00	Rules and City Government Committee - Regular Meeting
https://antiochca.portal.civicclerk.com/event/12/media		us:place:0602252	Antioch	2:17:41	City Council Meeting
https://bainbridgeislandwa.portal.civicclerk.com/event/1071/media		us:place:5303736	Bainbridge Island, WA	2:25:42	City Council Business Meeting
https://barstowcityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3142		us:place:0604030	City of Barstow, California	3:28:34	City Council Joint Meeting Council/BFPD
https://berwynheights.granicus.com/MediaPlayer.php?view_id=1&clip_id=894		us:place:2406925	Berwyn Heights, MD	2:09:15	Worksession - Aug 17th, 2026
https://chino.granicus.com/MediaPlayer.php?view_id=1&clip_id=4999		us:place:0613210	City of Chino, CA	4:11:35	City Council on 2026-09-01 6:00 PM - Regular Meeting
https://cityfortbragg.granicus.com/MediaPlayer.php?view_id=1&clip_id=1565		rtr:us:ca:fort-bragg-city	The City of Fort Bragg, CA	5:59:59	Special City Council - Nov 10th, 2025
https://cityofbowie.granicus.com/MediaPlayer.php?view_id=2&clip_id=828		us:place:2408775	City of Bowie, MD	3:12:08	Regular City Council Meeting
https://cityofmillvalley.granicus.com/MediaPlayer.php?view_id=2&clip_id=2244		us:place:0647710	City of Mill Valley, CA	2:48:01	Regular City Council Meeting (Adjusted for Labor Day)
https://cityofnewport.granicus.com/MediaPlayer.php?view_id=1&clip_id=1026		us:place:4449960	City of Newport, RI	2:09:55	Newport City Council Workshop Short Term Rentals- Follow up from March 11, 2026 Council Meeting
https://cityofrosemead.granicus.com/MediaPlayer.php?view_id=2&clip_id=3664		us:place:0662896	City of Rosemead, CA	3:02:10	City Council Regular Meeting - Sep 8th, 2026
