file,url,host,platform,kind,detail,gov_id,source_url_override,strength,match,source,evidence_gov_id_unresolvable,evidence_conflict
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1097471.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1005281.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1087665.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/988053.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1056495.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1053921.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1060697.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1038289.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1079101.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1083087.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://sandovalcountynm.new.swagit.com/videos/07112019-1080/4/,sandovalcountynm.new.swagit.com,swagit,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/live/a6tJWMRZgoE?feature=share,www.youtube.com,youtube,pin-added,owner found via jurisdiction_coverage.csv,us:cousub:2600980100,,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=hdPayV4oLd4,www.youtube.com,youtube,pin-added,owner found via jurisdiction_coverage.csv,ca:csd:3518005,,,,,,
tier3_auto_transcription_queue.txt,https://fremont.primegov.com/Portal/Meeting?meetingTemplateId=557,fremont.primegov.com,fremont.primegov.com,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=xkZjMGFrWUg,www.youtube.com,youtube,pin-added,owner found via jurisdiction_coverage.csv,us:place:1828386,,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=T3VwKCAj64o,www.youtube.com,youtube,pin-added,owner found via jurisdiction_coverage.csv,us:place:3137000,,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=q5Gvlzvztpo,www.youtube.com,youtube,pin-added,owner found via jurisdiction_coverage.csv,us:place:3647988,,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=uGjiNOTkOoM,www.youtube.com,youtube,pin,tenant_overrides.csv www.youtube.com match=uGjiNOTkOoM source=ryan_stated,us:place:3714700,,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=fnZup1KBfr4,www.youtube.com,youtube,pin-added,owner found via jurisdiction_coverage.csv,us:place:3983090,,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=zXY8UlA7kYI,www.youtube.com,youtube,pin-added,owner found via jurisdiction_coverage.csv,us:place:5667235,,,,,,
tier3_auto_transcription_queue.txt,https://delano.viebit.com/watch?hash=cpi9yaPTzJ8UPaHa,delano.viebit.com,delano.viebit.com,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://monticello.viebit.com/watch?hash=bLaPBn2Wp5FY27Z1,monticello.viebit.com,monticello.viebit.com,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://vimeo.com/1219072948,vimeo.com,vimeo,pin,tenant_overrides.csv vimeo.com match=1219072948 source=wo127_civicplus_pipeline,us:place:3657023,,,,,,
tier3_auto_transcription_queue.txt,https://youtu.be/Zh5fxIRXQRA,youtu.be,youtube,pin,tenant_overrides.csv youtu.be match=Zh5fxIRXQRA source=wo127_civicplus_pipeline,us:place:4804600,,,,,,
tier3_auto_transcription_queue.txt,https://fountainhillsaz.portal.civicclerk.com/event/502/media,fountainhillsaz.portal.civicclerk.com,civicclerk,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://northbendwa.portal.civicclerk.com/event/168/media,northbendwa.portal.civicclerk.com,civicclerk,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://newberlinwi.portal.civicclerk.com/event/2025/media,newberlinwi.portal.civicclerk.com,civicclerk,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://taylortx.portal.civicclerk.com/event/2023/media,taylortx.portal.civicclerk.com,civicclerk,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://eloyaz.granicus.com/MediaPlayer.php?view_id=1&clip_id=286,eloyaz.granicus.com,granicus,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://elmwoodpark.granicus.com/MediaPlayer.php?view_id=2&clip_id=555,elmwoodpark.granicus.com,granicus,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://molineil.granicus.com/MediaPlayer.php?view_id=1&clip_id=363,molineil.granicus.com,granicus,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://shorewood-il.granicus.com/MediaPlayer.php?view_id=1&clip_id=236,shorewood-il.granicus.com,granicus,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://winfieldil.portal.civicclerk.com/event/151/media,winfieldil.portal.civicclerk.com,civicclerk,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://watertown.viebit.com/watch?hash=2FdjXAPYydoOCsLn,watertown.viebit.com,watertown.viebit.com,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://briarclifftv.viebit.com/watch?hash=vzaKW9ZlK0oNLp3U,briarclifftv.viebit.com,briarclifftv.viebit.com,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://shadyshorestx.portal.civicclerk.com/event/723/media,shadyshorestx.portal.civicclerk.com,civicclerk,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://pleasantprairiewi.granicus.com/MediaPlayer.php?view_id=1&clip_id=899,pleasantprairiewi.granicus.com,granicus,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://windsorwi.granicus.com/MediaPlayer.php?view_id=1&clip_id=1254,windsorwi.granicus.com,granicus,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://ozaukeecowi.portal.civicclerk.com/event/5776/media,ozaukeecowi.portal.civicclerk.com,civicclerk,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://bighorncomt.portal.civicclerk.com/event/1058/media,bighorncomt.portal.civicclerk.com,civicclerk,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://vimeo.com/1199438213?share=copy&fl=sv&fe=ci,vimeo.com,vimeo,pin-added,owner found via wo145_report.csv,us:cousub:2500750390,,,,,,
