tenant,portal_domain,meeting_id,url,status,jurisdiction,segments,agenda_items,video_url,detail
ottawa,pub-ottawa.escribemeetings.com,7f9c6472-aacb-43f2-b47e-7a4aec7b35ee,https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=7f9c6472-aacb-43f2-b47e-7a4aec7b35ee,ingested-tier3-agenda,City of Ottawa,0,4,https://cdn1.isilive.ca/vod/_definst_/mp4:ottawa/Compact-Champlain-EN_Planning%20and%20Housing%20Committee_2026-09-02-09-29.mp4/playlist.m3u8,/m/city-of-ottawa-2026-09-02-planning-and-housing-committee
pboro,,,,no-portal-found,,,,,neither pub-{id} nor {id}.escribemeetings.com responded
peelregion,pub-peelregion.escribemeetings.com,fea922bb-79f7-4b81-9c35-90a5d00632fe,https://pub-peelregion.escribemeetings.com/Meeting.aspx?Id=fea922bb-79f7-4b81-9c35-90a5d00632fe,ingested-tier1,"Peel Region, ON",606,15,https://cdn1.isilive.ca/vod/_definst_/mp4:peelregion/New%20Encoder_Audit%20and%20Risk%20Committee_2026-09-03-01-25.mp4/playlist.m3u8,/m/peel-on-2026-09-03-audit-and-risk-committee
poec-cedu,,,,no-portal-found,,,,,neither pub-{id} nor {id}.escribemeetings.com responded
portmoody,pub-portmoody.escribemeetings.com,e417ad77-b56a-48de-ab4b-46c52c7acdd9,https://pub-portmoody.escribemeetings.com/Meeting.aspx?Id=e417ad77-b56a-48de-ab4b-46c52c7acdd9,ingested-tier1,"City of Port Moody, BC",2390,24,https://cdn1.isilive.ca/vod/_definst_/mp4:portmoody/New%20Encoder_Regular%20Council_2026-07-28-09-56.mp4/playlist.m3u8,/m/port-moody-bc-2026-07-28-regular-council
rockyview,pub-rockyview.escribemeetings.com,499824d0-662a-42de-9ccd-3bf394e76067,https://pub-rockyview.escribemeetings.com/Meeting.aspx?Id=499824d0-662a-42de-9ccd-3bf394e76067,ingested-tier1,"Rocky View, AB",405,0,https://cdn1.isilive.ca/vod/_definst_/mp4:rockyview/Compact%20Encoder%201129_Enforcement%20Appeal%20Committee_2026-09-01-10-54.mp4/playlist.m3u8,/m/rocky-view-county-ab
santamaria,pub-santamaria.escribemeetings.com,33f037e1-492d-4f6f-9593-dbeb41692918,https://pub-santamaria.escribemeetings.com/Meeting.aspx?Id=33f037e1-492d-4f6f-9593-dbeb41692918,ingested-tier3-agenda,"Santa Maria, CA",0,8,https://cdn1.isilive.ca/vod/_definst_/mp4:santamaria/SMCC_Meeting_Sept_1_2026.mp4/playlist.m3u8,/m/santa-maria-ca-2026-09-01-city-council-meeting
saskatoon,pub-saskatoon.escribemeetings.com,d0535b70-aac4-4f52-b632-23ad0e3f5380,https://pub-saskatoon.escribemeetings.com/Meeting.aspx?Id=d0535b70-aac4-4f52-b632-23ad0e3f5380,ingested-tier1,"City of Saskatoon, SK",425,17,https://cdn1.isilive.ca/vod/_definst_/mp4:saskatoon/Council%20Chambers_SPC-FINANCE%20-%20PUBLIC_2026-09-02-03-54.mp4/playlist.m3u8,/m/saskatoon-sk-2026-09-02-spc-finance-public
scc,,,,no-portal-found,,,,,neither pub-{id} nor {id}.escribemeetings.com responded
sechelt,pub-sechelt.escribemeetings.com,c4483ef4-9368-48fc-bbef-49df365f04ce,https://pub-sechelt.escribemeetings.com/Meeting.aspx?Id=c4483ef4-9368-48fc-bbef-49df365f04ce,ingested-tier3-agenda,"Sechelt, BC",0,7,https://cdn1.isilive.ca/vod/_definst_/mp4:sechelt/isiLIVE%20Encoder%20755_CoW_2026-05-13-06-00.mp4/playlist.m3u8,/m/sechelt-bc-2026-05-13-committee-of-the-whole-meeting
southstormont,pub-southstormont.escribemeetings.com,64edb87f-9911-4a8a-b3f1-22b2d5e39a18,https://pub-southstormont.escribemeetings.com/Meeting.aspx?Id=64edb87f-9911-4a8a-b3f1-22b2d5e39a18,ingested-tier3-agenda,"South Stormont, ON",0,21,https://cdn1.isilive.ca/vod/_definst_/mp4:southstormont/lite_encoder_RM_2026-09-02-05-00.mp4/playlist.m3u8,/m/south-stormont-on-2026-09-02-regular-meeting
sprucegrove,pub-sprucegrove.escribemeetings.com,565757fe-623f-4170-8317-5ad08ad66f3d,https://pub-sprucegrove.escribemeetings.com/Meeting.aspx?Id=565757fe-623f-4170-8317-5ad08ad66f3d,queued-tier3,"City of Spruce Grove, AB",0,0,https://cdn1.isilive.ca/vod/_definst_/mp4:sprucegrove/August%2024%2C%202026%20Regular%20Council%20Meeting%20-%20Video.mp4/playlist.m3u8,tier3_auto_transcription_queue.txt
stjohns,pub-stjohns.escribemeetings.com,1f3470c8-964e-41cf-b495-4cc3f7f5895f,https://pub-stjohns.escribemeetings.com/Meeting.aspx?Id=1f3470c8-964e-41cf-b495-4cc3f7f5895f,ingested-tier1,"City of St. John's, NL",599,17,https://cdn1.isilive.ca/vod/_definst_/mp4:stjohns/iSi%20Live%20Encoder_Regular%20Council%20Meeting_2026-08-25-01-30.mp4/playlist.m3u8,/m/city-of-st-john-s-nl-2026-08-25-regular-council-meeting
surreysb,,,,no-portal-found,,,,,neither pub-{id} nor {id}.escribemeetings.com responded
tcdsb,,,,no-portal-found,,,,,neither pub-{id} nor {id}.escribemeetings.com responded
tdsb,pub-tdsb.escribemeetings.com,,,no-meeting-found,,,,,no HasVideo meeting in the last 120 days via GetCalendarMeetings
vermilion,pub-vermilion.escribemeetings.com,a0d2a5f4-00ff-4de5-8dc8-209ca77e92c4,https://pub-vermilion.escribemeetings.com/Meeting.aspx?Id=a0d2a5f4-00ff-4de5-8dc8-209ca77e92c4,ingested-tier3-agenda,Vermilion,0,19,https://cdn1.isilive.ca/vod/_definst_/mp4:vermilion/33-Committee-of-the-Whole-2026-9-1-19-59.mp4/playlist.m3u8,/m/vermilion-2026-09-01-committee-of-the-whole
victoria,pub-victoria.escribemeetings.com,ff198c98-7a36-47df-a06c-c9136bd3056a,https://pub-victoria.escribemeetings.com/Meeting.aspx?Id=ff198c98-7a36-47df-a06c-c9136bd3056a,ingested-tier1,City of Victoria,363,10,https://cdn1.isilive.ca/vod/_definst_/mp4:victoria/Compact%20Encoder%201349_CTFCOTW_2026-09-03-05-33.mp4/playlist.m3u8,/m/victoria-bc-2026-09-03-council-to-follow-cotw
waterloo,,,,no-portal-found,,,,,neither pub-{id} nor {id}.escribemeetings.com responded
watsonville,,,,no-portal-found,,,,,neither pub-{id} nor {id}.escribemeetings.com responded
whiterock,,,,no-portal-found,,,,,neither pub-{id} nor {id}.escribemeetings.com responded
yorkregion,,,,no-portal-found,,,,,neither pub-{id} nor {id}.escribemeetings.com responded
