platform,tenant_host,match_value,rows,reason,landing_url,stored_names,example_slug
unknown,bladensburgtown-md.municodemeetings.com,,2,multiple_governments,,"rtr:us:md:july13-2026-town-of-bladensburg-maryland-meetings-hub (July13, 2026 | Town of Bladensburg Maryland Meetings Hub, MD)|us:place:2407850 (Bladensburg, MD)",
unknown,brookfieldil.civicweb.net,,2,multiple_governments,,"rtr:us:il:brookfield-village (Brookfield (village), IL)|us:place:1708576 (Brookfield (village), IL)",
unknown,brookhavenny.portal.civicclerk.com,,2,multiple_governments,,"rtr:us:ny:farmingville (Farmingville, NY)|us:cousub:3610310000 (Brookhaven Town, NY)",
unknown,citrusclerk.portal.civicclerk.com,,2,multiple_governments,,"us:county:12017 (Citrus County, FL)|us:place:1233950 (Inverness, FL)",
unknown,cityofmenifee.primegov.com,,2,multiple_governments,,"rtr:us:ca:menifee-nbsp (City of Menifee&nbsp, CA)|us:place:0646842 (Menifee, CA)",
unknown,columbus-wi.municodemeetings.com,,2,multiple_governments,,"rtr:us:wi:columbus-wisconsin-meetings-hub (Columbus Wisconsin Meetings Hub, WI)|us:place:5516450 (Columbus (city), WI)",
unknown,cooper.granicus.com,,2,multiple_governments,,"us:place:1214125 (Cooper City, FL)|us:place:4816564 (Cooper, TX)",
unknown,cosumnescommunityservices.portal.civicclerk.com,,2,multiple_governments,,"rtr:us:ca:cosumnes-community-services-district (Cosumnes Community Services District, CA)|us:place:0622020 (Elk Grove, CA)",
unknown,dallascounty.civicweb.net,,2,multiple_governments,,"us:county:48113 (Dallas County, TX)|us:place:4819000 (Dallas, TX)",
unknown,dubuquecountyia.portal.civicclerk.com,,2,multiple_governments,,"us:county:19061 (Dubuque County, IA)|us:place:1922395 (Dubuque, IA)",
unknown,duluth-mn.granicus.com,,2,multiple_governments,,"rtr:us:mn:duluth-city (Duluth (city), MN)|us:place:2717000 (Duluth (city), MN)",
unknown,emporiaks.portal.civicclerk.com,,2,multiple_governments,,"rtr:us:ks:emporia-city (Emporia (city), KS)|us:place:2021275 (Emporia (city), KS)",
unknown,galesburg.granicus.com,,2,multiple_governments,,"rtr:us:il:galesburg-city (Galesburg (city), IL)|us:place:1728326 (Galesburg (city), IL)",
unknown,greenbaywi.portal.civicclerk.com,,2,multiple_governments,,"rtr:us:wi:green-bay-city (Green Bay (city), WI)|us:place:5531000 (Green Bay (city), WI)",
unknown,highlands-nj.municodemeetings.com,,2,multiple_governments,,"us:county:12055 (Highlands County, FL)|us:place:3431500 (Highlands, NJ)",
unknown,jamescitycova.portal.civicclerk.com,,2,multiple_governments,,"ca:csd:3554042 (James, ON)|us:county:51095 (James City County, VA)",
unknown,juneauak.portal.civicclerk.com,,2,multiple_governments,,"rtr:us:ak:juneau (Juneau, AK)|us:place:5538675 (Juneau, WI)",
unknown,kingsport-tn.municodemeetings.com,,2,multiple_governments,,"rtr:us:tn:municode-portal (Municode Portal, TN)|us:place:4739560 (Kingsport, TN)",
unknown,laurel-md.municodemeetings.com,,2,multiple_governments,,"rtr:us:md:municode-portal (Municode Portal, MD)|us:place:2445900 (Laurel, MD)",
unknown,lucascooh.portal.civicclerk.com,,2,multiple_governments,,"us:county:39095 (Lucas County, OH)|us:place:3945276 (Lucas, OH)",
unknown,madeirabeach-fl.municodemeetings.com,,2,multiple_governments,,"rtr:us:fl:madeira-beach-florida-meetings-hub (Madeira Beach Florida Meetings Hub, FL)|us:place:1242400 (Madeira Beach, FL)",
unknown,madisonsd.portal.civicclerk.com,,2,multiple_governments,,"rtr:us:sd:madison-city (Madison (city), SD)|us:place:4640220 (Madison (city), SD)",
unknown,manitowoc.granicus.com,,2,multiple_governments,,"rtr:us:wi:manitowoc-city (Manitowoc (city), WI)|us:place:5548500 (Manitowoc (city), WI)",
unknown,nbvillage.granicus.com,,2,multiple_governments,,"us:place:1245000 (Miami, FL)|us:place:1249225 (North Bay Village, FL)",
unknown,newark.granicus.com,,2,multiple_governments,,"us:place:0650916 (Newark, CA)|us:place:3451000 (Newark, NJ)",
unknown,northbranchmn.portal.civicclerk.com,,2,multiple_governments,,"rtr:us:mn:north-branch-city (North Branch (city), MN)|us:place:2746798 (North Branch (city), MN)",
