tenant_host,match,gov_id,strength,source,evidence,gov_name,solid_pages,needs_plumbing
www.youtube.com,channel=@BethlehemTownship,us:cousub:3401905650,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/bethlehem-township-2026-08-25-planning-board-8-34-3036; owner title ""Bethlehem Township""",,1,True
www.youtube.com,channel=@BillingsCountyND,us:county:38007,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/billings-county-nd-2026-09-03-september-3-2026-billings-county-commission-meetin; owner title ""BillingsCountyND""",,1,True
www.youtube.com,channel=@BoroughOfIrwin,us:place:4237208,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/borough-of-irwin-ga-2026-09-09-9-9-2026-regular-agenda-session; owner title ""Borough Of Irwin""",,1,True
www.youtube.com,channel=@BoroughofBath,us:place:4204432,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/borough-of-bath-2026-09-04-august-24-2026-bbsa-meeting-audio-file; owner title ""Borough of Bath""",,1,True
www.youtube.com,channel=@BoroughofNorthvale,us:place:3453430,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/northvale-nj-2024-03-14-meeting-of-the-mayor-and-council-march-13-2024; owner title ""Borough of Northvale""",,1,True
www.youtube.com,channel=@BoroughofRE,us:place:3463360,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/river-edge-nj-2020-01-07-sine-die-meeting-1-6-2020; owner title ""Borough RE""",,1,True
www.youtube.com,channel=@BoyleCountyMedia,us:county:21021,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/boyle-county-ky-2026-09-08-boyle-county-fiscal-court-meeting-september-8-2026; owner title ""Boyle County Media""",,1,True
www.youtube.com,channel=@BrackenCountyFiscalCourt,us:county:21023,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/bracken-county-ky-fiscal-court-sk-2026-09-09-regular-fiscal-court-meeting-septem; owner title ""Bracken County, KY Fiscal Court""",,1,True
www.youtube.com,channel=@BrattleboroCommunityTV,us:cousub:5002548400,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/brattleboro-vt-2026-03-04-2026-newfane-town-meeting-3-3-26; owner title ""Brattleboro Community TV""",,1,True
www.youtube.com,channel=@BrewsterCountyTexas,us:county:48043,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/brewster-county-tx-2026-09-08-brewster-county-regular-commissioners-court-meetin; owner title ""Brewster County, Texas""",,1,True
www.youtube.com,channel=@BrigantineBeachbrigantine,us:place:3407810,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/brigantine-nj-2026-09-02-city-of-brigantine-s-personal-meeting-room; owner title ""Brigantine Beach""",,1,True
www.youtube.com,channel=@CCVBoardofManagersMeetings,us:place:2416787,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/chevy-chase-village-md-2026-08-12-board-of-managers-special-meeting-august-11-20; owner title ""Chevy Chase Village Board of Managers' Meetings""",,1,True
www.youtube.com,channel=@CITYOFPORTALLENCOUNCILMEETING,us:place:2261790,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/port-allen-la-2026-06-11-copy-of-06-10-26-council-meeting; owner title ""CITY OF PORT ALLEN COUNCIL MEETING""",,1,True
www.youtube.com,channel=@CMVNYTV,us:place:3649121,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/mount-vernon-ny-2026-08-28-real-estate-committee-meeting-august-28-2026; owner title ""CMVNY TV""",,1,True
www.youtube.com,channel=@COBMeetings,us:place:5305280,fallback,archive_study_2026-09-14,"2 solidly-identified archive page(s), e.g. /m/2026-06-04-planning-commission; owner title ""City of Bellingham Meetings""",,2,True
www.youtube.com,channel=@COCitrusHeights,us:place:0613588,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/citrus-heights-ca-2026-09-10-regular-city-council-meeting-september-9-2026; owner title ""COCitrusHeights""",,1,True
www.youtube.com,channel=@CalaisTownClerk,us:cousub:5002311350,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/calais-vt-2026-01-27-calais-board-of-abatement-meeting-1-26-26; owner title ""Calais Town Clerk""",,1,True
www.youtube.com,channel=@CambridgeCable12,us:place:5512225,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/cambridge-wi-2026-09-09-village-board-september-8-2026; owner title ""CambridgeCable12""",,1,True
www.youtube.com,channel=@CamdenCountyBOC,us:county:13039,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/camden-county-ga-2026-09-01-board-of-commissioners-regular-meeting-september-1-2; owner title ""Camden County Board of Commissioners""",,1,True
www.youtube.com,channel=@CardstonCounty,ca:csd:4803001,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/cardston-county-2026-06-24-june-22-2026-council-meeting-sd-480p; owner title ""Cardston County""",,1,True
www.youtube.com,channel=@CarrollVA,us:county:51035,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/carroll-county-va-2026-09-09-9-8-2026-carroll-county-board-of-supervisors-meetin; owner title ""Carroll County, Virginia""",,1,True
www.youtube.com,channel=@CatchMarkCommunity,us:place:2686780,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/whitehall-city-mi-2022-08-09-whitehall-city-council-meeting-and-work-session-aug; owner title ""CatchMark Community""",,1,True
www.youtube.com,channel=@CedarGroveNJUSA,us:cousub:3401311200,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/cedar-grove-township-nj-2026-08-17-8-17-26-council-meeting; owner title ""Cedar Grove NJ""",,1,True
www.youtube.com,channel=@CerroGordoCountyAuditor,us:county:19033,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/cerro-gordo-county-ia-2026-09-09-09-08-2026-regular-session-cerro-gordo-county-b; owner title ""Cerro Gordo County Auditor""",,1,True
www.youtube.com,channel=@CharterTownshipofMonitor,us:cousub:2601754980,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/monitor-charter-township-mi-2026-08-12-planning-commission-meeting-august-11-202; owner title ""Monitor Township""",,1,True
www.youtube.com,channel=@ChautauquaCounty,us:county:36013,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/chautauqua-county-ny-2026-08-18-public-facilities-committee-meeting-08-17-26; owner title ""Chautauqua County Government""",,1,True
www.youtube.com,channel=@ChelanCountyGov,us:county:53007,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/chelan-county-wa-2026-04-08-spring-community-meeting; owner title ""Chelan County""",,1,True
www.youtube.com,channel=@ChelmsfordtvOrg,us:cousub:2501713135,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/chelmsford-ma-2026-08-24-select-board-august-24-2026; owner title ""Chelmsford TV""",,1,True
www.youtube.com,channel=@ChinaTownshipMichigan,us:cousub:2614715540,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/china-township-mi-2026-01-21-january-20-2026-board-meeting; owner title ""China Township Michigan""",,1,True
www.youtube.com,channel=@CityDFSLiveStream,us:place:1216800,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/defuniak-springs-fl-2026-09-01-code-review-and-land-use-regular-meeting-9-1-26; owner title ""City DFS Live Stream""",,1,True
www.youtube.com,channel=@CityHallJohnstownPA,us:place:4238288,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/johnstown-pa-2023-10-19-johnstown-pa-council-meeting-10-11-23; owner title ""City of Johnstown PA""",,1,True
www.youtube.com,channel=@CityOfCordele-wl3fl,us:place:1319616,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/cordele-ga-2026-09-01-cordele-city-commission-meeting; owner title ""City Of Cordele""",,1,True
www.youtube.com,channel=@CityOfDadeville,us:place:0119336,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/dadeville-al-2026-07-30-council-session-7-28-2026; owner title ""City Of Dadeville""",,1,True
www.youtube.com,channel=@CityOfGatlinburg,us:place:4728800,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/gatlinburg-tn-2026-07-22-city-commission-7-21-26; owner title ""City of Gatlinburg""",,1,True
www.youtube.com,channel=@CityOfIsletonCA,us:place:0636882,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/isleton-ca-2025-12-10-part-ii-december-9-2025-after-closed-session; owner title ""Isleton""",,1,True
www.youtube.com,channel=@CityOfLyndhurstOhio,us:place:3945556,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/lyndhurst-oh-2022-03-29-city-council-meeting-03-21-2022; owner title ""City of Lyndhurst, Ohio""",,1,True
www.youtube.com,channel=@CityOfManchesterTennessee,us:place:4745500,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/manchester-tn-2026-06-05-conference-meeting-6-4-26; owner title ""City Of Manchester Tennessee""",,1,True
www.youtube.com,channel=@CityOfMarshallMO,us:place:2946316,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/city-of-marshall-2026-04-07-marshall-city-council-4-7-2026; owner title ""City of Marshall""",,1,True
www.youtube.com,channel=@CityOfSylvania,us:place:3976022,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/city-of-sylvania-2026-08-31-city-of-sylvania-planning-commission-meeting-wednesd; owner title ""City of Sylvania""",,1,True
www.youtube.com,channel=@CityOfWarrentonMO,us:place:2977128,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/warrenton-mo-2026-09-02-board-of-alderman-meeting-september-1-2026; owner title ""City of Warrenton Missouri""",,1,True
www.youtube.com,channel=@City_Of_Quinte_West,ca:csd:3512015,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/quinte-west-on-2026-07-09-city-of-quinte-west-committee-of-adjustment-meeting-ju; owner title ""City of Quinte West""",Quinte West,1,True
www.youtube.com,channel=@City_of_ClearLake_Iowa,us:place:1914025,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/clear-lake-ia-2026-09-08-city-council-meeting-september-8-2026; owner title ""CityofClearLake-Iowa""",,1,True
www.youtube.com,channel=@CityofAlcester,us:place:4600700,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/alcester-city-sd-2026-09-09-september-8th-2026-council-meeting; owner title ""City of Alcester""",,1,True
www.youtube.com,channel=@CityofAliceTX,us:place:4801852,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/alice-tx-2026-06-18-city-of-alice-city-council-meeting-june-16-2026-after-execut; owner title ""City of Alice, TX""",,1,True
www.youtube.com,channel=@CityofAthensAla,us:place:0102956,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/athens-al-2026-09-03-conversations-with-the-council-district-5; owner title ""CityofAthensAla""",,1,True
www.youtube.com,channel=@CityofAtkinsIA,us:place:1903475,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/atkins-ia-2026-09-08-city-of-atkins-city-council-meeting-09-08-2026; owner title ""The City of Atkins Iowa""",,1,True
www.youtube.com,channel=@CityofAuGres,us:place:2604120,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/au-gres-city-mi-2026-05-06-au-gres-michigan-city-council-meeting-may-5-2026; owner title ""City of Au Gres""",,1,True
www.youtube.com,channel=@CityofAugustaKS,us:place:2003300,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/augusta-2026-09-09-september-8-2026-city-council-meeting; owner title ""CityofAugustaKS""",,1,True
www.youtube.com,channel=@CityofAvalonCA,us:place:0603274,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/avalon-ca-2026-09-01-september-1-2026-city-council-meeting; owner title ""City of Avalon""",,1,True
