tenant_host,match,study_gov_id,study_gov_name,existing_pin_gov_id,solid_pages
www.youtube.com,channel=@TheCityofNorthVernonIN,us:place:1855116,,us:place:1855116,1
www.youtube.com,channel=@TownEastGwillimbury,ca:csd:3519054,East Gwillimbury,ca:csd:3519054,1
www.youtube.com,channel=@TownofApexGov,us:place:3701520,,us:place:3701520,1
www.youtube.com,channel=@TownofChenango,us:cousub:3600715110,Chenango town,us:cousub:3600715110,1
www.youtube.com,channel=@TownofFletcherNC,us:place:3723760,,us:place:3723760,1
www.youtube.com,channel=@TroyOhioVideos,us:place:3977588,,us:place:3977588,1
www.youtube.com,channel=@VictoriaCounty-ca,ca:cd:1218,,ca:cd:1218,1
www.youtube.com,channel=@WashingtonCountyTNGovernment,us:county:47179,,us:county:47179,1
www.youtube.com,channel=@WhiteRiverTownship-h1r1r,us:cousub:1808183924,,us:cousub:1808183924,1
www.youtube.com,channel=@WilsonCountyTelevision,us:county:47189,,us:county:47189,1
www.youtube.com,channel=@WoodfordCountyKentucky,us:county:21239,,us:county:21239,1
www.youtube.com,channel=@WytheCountyVirginia,us:county:51197,,us:county:51197,1
www.youtube.com,channel=@YpsiTownship,us:cousub:2616189160,,us:cousub:2616189160,1
www.youtube.com,channel=@berlintownshipdelawarecoun5349,us:cousub:3904105788,,us:cousub:3904105788,1
www.youtube.com,channel=@blackhawkcountyiowa,us:county:19013,,us:county:19013,1
www.youtube.com,channel=@blueislandtelevision,us:place:1706704,,us:place:1706704,1
www.youtube.com,channel=@boroughofwaldwick2372,us:place:3476400,,us:place:3476400,1
www.youtube.com,channel=@botetourtcountyva,us:county:51023,,us:county:51023,1
www.youtube.com,channel=@cayugacounty624,us:county:36011,,us:county:36011,1
www.youtube.com,channel=@ccgtv3906,us:county:13215,,us:county:13215,1
www.youtube.com,channel=@cityofalbany,us:place:4101000,,us:place:4101000,1
www.youtube.com,channel=@cityofalhambra,us:place:0600884,,us:place:0600884,1
www.youtube.com,channel=@cityofbellevillecouncilmee8295,us:place:1704845,,us:place:1704845,1
www.youtube.com,channel=@cityofbrookshiretexas,us:place:4810636,,us:place:4810636,1
www.youtube.com,channel=@cityofcanyonlake6859,us:place:0610928,,us:place:0610928,1
www.youtube.com,channel=@cityofdallasoregon1874,us:place:4117700,,us:place:4117700,1
www.youtube.com,channel=@cityoflincolntonstream,us:place:3738320,,us:place:3738320,1
www.youtube.com,channel=@cityoforangetex,us:place:4854132,Orange city,us:place:4854132,1
www.youtube.com,channel=@cityofrichmondheightsohio6020,us:place:3966894,,us:place:3966824,1
www.youtube.com,channel=@cityofsanluis9754,us:place:0463470,,us:place:0463470,1
www.youtube.com,channel=@cityofstarkville960,us:place:2870240,,us:place:2870240,1
www.youtube.com,channel=@cityofsweethomeoregon2042,us:place:4171950,,us:place:4171950,1
www.youtube.com,channel=@cityofwebstergroves9068,us:place:2978154,,us:place:2978154,1
www.youtube.com,channel=@cityofwestlandwlnd,us:place:2686000,,us:place:2686000,1
www.youtube.com,channel=@cityofwoodburn,us:place:4183750,,us:place:4183750,1
www.youtube.com,channel=@cityssm,ca:csd:3557061,,ca:csd:3557061,1
www.youtube.com,channel=@cohoesny8652,us:place:3616749,,us:place:3616749,1
www.youtube.com,channel=@countyofmcleod,us:county:27085,,us:county:27085,1
www.youtube.com,channel=@currituckgovernment,us:county:37053,Currituck County,us:county:37053,1
www.youtube.com,channel=@deerfieldtownshipohio7318,us:cousub:3916521238,,us:cousub:3916521238,1
www.youtube.com,channel=@defianceohcouncilmeetings,us:place:3921308,,us:place:3921308,1
www.youtube.com,channel=@doversherborncabletv,us:cousub:2501761380,,us:cousub:2502117405,1
www.youtube.com,channel=@dunescityoregon5293,us:place:4121150,,us:place:4121150,1
www.youtube.com,channel=@hamptoncountylive5449,us:county:45049,,us:county:45049,1
www.youtube.com,channel=@havelocknc,us:place:3730120,,us:place:3730120,1
www.youtube.com,channel=@kennertvonline,us:place:2239475,,us:place:2239475,1
www.youtube.com,channel=@lyoncountynv7557,us:county:32019,,us:county:32019,1
www.youtube.com,channel=@mountvernonwa,us:place:5347560,,us:place:5347560,1
www.youtube.com,channel=@northamptontownshipbucksco6727,us:cousub:4201754688,,us:cousub:4201754688,1
www.youtube.com,channel=@osagecounty1099,us:county:29151,,us:county:20139,1
